num_days_at_home,num_agents_perc
0,14.5
1,3.9
2,2.5
3,2.4
4,11.9
5,5.7
6,1.9
7,1.8
8,1.2
9,1.0
10,1.0
11,1.6
12,1.3
13,1.5
14,2.5
15,3.0
16,2.2
17,1.0
18,1.4
19,1.3
20,0.7
21,1.2
22,0.4
23,0.2
24,0.5
25,0.8
26,0.8
27,0.5
28,0.4
29,1.0
30,0.5
31,0.7
32,0.3
33,0.9
34,0.6
35,0.1
36,0.5
37,0.4
38,0.9
39,0.5
40,0.7
41,0.3
42,0.6
43,0.3
44,0.3
45,0.1
46,0.6
47,0.6
48,0.4
49,0.3
50,0.2
51,0.5
52,0.6
53,0.3
55,0.5
56,0.7
57,0.2
58,0.3
60,0.2
61,0.3
62,0.3
63,0.4
65,0.3
66,0.4
67,0.1
68,0.1
69,0.2
70,0.2
71,0.4
72,0.3
73,0.1
74,0.2
75,0.2
76,0.1
77,0.3
78,0.1
79,0.3
80,0.3
81,0.4
82,0.3
83,0.3
84,0.5
85,0.3
86,0.2
87,0.2
88,0.2
89,0.6
90,0.1
91,0.2
92,0.5
93,0.3
94,0.6
95,0.1
96,0.4
97,0.4
98,0.1
100,0.5
101,0.4
102,0.5
103,0.6
104,2.0
105,2.3
109,0.1
116,0.1
