name,age,gender,Name Rank,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness to Experience,Run Number,Time Step,Response,slight_cough,cough_and_fever,Daily New Cases Day 4
Vicente,31,1,0.696,0,0,0,1,0,1,0,0,0,0,0
Alba,19,0,0.559,1,0,0,1,0,1,0,0,0,0,0
Emma,59,0,0.905,1,0,1,1,0,1,0,0,0,0,0
Patty,59,0,0.861,0,0,0,1,1,1,0,0,0,0,0
Constance,51,0,0.069,0,0,0,1,1,1,0,0,0,0,0
Pam,30,0,0.822,0,1,0,1,0,1,0,0,0,0,0
Miguel Angel,32,1,0.481,0,0,0,0,0,1,0,0,0,0,0
Harold,47,1,0.667,0,0,1,1,0,1,0,0,0,0,0
Ajay,35,1,0.331,1,0,1,1,0,1,0,0,0,0,0
Stephanie,52,0,0.987,1,0,0,1,1,1,0,0,0,0,0
Cory,42,1,0.724,1,0,1,1,1,1,0,0,0,0,0
Ruby,35,0,0.74,1,1,0,1,0,1,0,0,0,0,0
Kim,40,0,0.966,1,1,1,0,0,1,0,0,0,0,0
Christa,35,0,0.242,0,0,1,0,1,1,0,0,0,0,0
Nabil,42,1,0.052,0,0,1,0,1,1,0,0,0,0,0
Mina,62,1,0.545,0,0,0,0,1,1,0,0,0,0,0
Ant,28,1,0.108,1,0,0,0,1,1,0,0,0,0,0
Scott,54,1,0.958,1,0,1,0,1,1,0,0,0,0,0
Cedric,34,1,0.403,1,1,0,1,1,1,0,0,0,0,0
Claire,53,0,0.736,1,1,0,1,0,1,0,0,0,0,0
Lily,28,0,0.804,0,0,0,0,1,1,0,0,0,0,0
Wes,22,1,0.517,0,1,1,1,1,1,0,0,0,0,0
Nichole,54,0,0.477,1,0,1,1,0,1,0,0,0,0,0
Hazel,62,0,0.278,1,1,0,1,1,1,0,0,0,0,0
Fabian,54,1,0.693,0,1,1,1,0,1,0,0,0,0,0
Roger,41,1,0.843,1,1,0,1,0,1,0,0,0,0,0
Elisabeth,63,0,0.313,1,1,0,0,0,1,0,0,0,0,0
Mackenzie,34,0,0.497,0,1,1,0,0,1,0,0,0,0,0
Stefanie,61,0,0.398,1,0,1,0,0,1,0,0,0,0,0
Brayden,35,1,0.04,1,1,0,1,1,1,0,0,0,0,0
Bertha,26,0,0.698,1,0,1,0,1,1,0,0,0,0,0
Hans,26,1,0.244,1,0,0,1,1,1,0,0,0,0,0
Liam,32,1,0.511,1,0,0,0,1,1,0,0,0,0,0
Selvin,49,1,0.266,1,1,0,1,0,1,0,0,0,0,0
Frankie,38,1,0.644,0,1,1,1,0,1,0,0,0,0,0
Moe,58,1,0.565,0,0,1,1,1,1,0,0,0,0,0
Crystal,35,0,0.922,1,0,1,1,1,1,0,0,0,0,0
Luciana,54,0,0.002,1,1,0,0,1,1,0,0,0,0,0
Jean,52,1,0.854,1,1,0,1,1,1,0,0,0,0,0
Glenda,64,0,0.629,1,1,1,1,0,1,0,0,0,0,0
Perry,39,1,0.42,1,1,1,1,0,1,0,0,0,0,0
Caleb,45,1,0.745,1,0,0,0,0,1,0,0,0,0,0
Nick,46,1,0.957,0,1,1,0,1,1,0,0,0,0,0
Jodi,20,0,0.589,0,1,1,1,1,1,0,0,0,0,0
Hilda,51,0,0.719,1,0,0,0,0,1,0,0,0,0,0
Destiny,54,0,0.69,0,0,1,1,1,1,0,0,0,0,0
Fredy,48,1,0.656,1,0,1,1,1,1,0,0,0,0,0
Varun,58,1,0.051,0,1,1,0,0,1,0,0,0,0,0
Angie,30,0,0.909,0,0,0,1,1,1,0,0,0,0,0
Guillermo,48,1,0.807,1,1,1,1,0,1,0,0,0,0,0
Alberto,49,1,0.899,0,1,0,0,1,1,0,0,0,0,0
Teresita,28,0,0.105,1,0,0,1,0,1,0,0,0,0,0
Beverly,34,0,0.731,1,1,0,1,0,1,0,0,0,0,0
Lulu,35,0,0.499,0,0,1,0,0,1,0,0,0,0,0
Remy,62,1,0.021,1,0,1,1,1,1,0,0,0,0,0
Griffin,46,1,0.038,1,1,1,0,1,1,0,0,0,0,0
Tito,37,1,0.582,0,1,1,1,0,1,0,0,0,0,0
Nik,20,1,0.076,1,1,1,1,0,1,0,0,0,0,0
Alejandra,27,0,0.893,0,0,1,1,1,1,0,0,0,0,0
Loren,44,0,0.314,0,0,1,1,0,1,0,0,0,0,0
Gisela,45,0,0.281,0,1,0,0,0,1,0,0,0,0,0
Alexa,31,0,0.718,1,0,0,0,1,1,0,0,0,0,0
Luiz,41,1,0.302,1,1,0,1,1,1,0,0,0,0,0
Rina,63,0,0.121,1,0,0,0,0,1,0,0,0,0,0
Eugenio,51,1,0.326,0,0,0,0,0,1,0,0,0,0,0
Efren,25,1,0.468,0,1,0,0,1,1,0,0,0,0,0
Genesis,60,0,0.498,0,0,0,1,1,1,0,0,0,0,0
Leon,24,1,0.676,0,0,1,0,0,1,0,0,0,0,0
Juliet,25,0,0.277,1,1,0,0,1,1,0,0,0,0,0
Kat,52,0,0.606,1,1,1,1,1,1,0,0,0,0,0
Adalberto,41,1,0.181,0,1,1,1,1,1,0,0,0,0,0
Gillian,25,0,0.058,0,1,1,1,0,1,0,0,0,0,0
Lynette,57,0,0.32,0,0,0,1,0,1,0,0,0,0,0
Jalen,53,1,0.129,0,0,0,0,0,1,0,0,0,0,0
Kathy,23,0,0.958,0,1,0,0,1,1,0,0,0,0,0
Yvonne,32,0,0.776,0,0,0,1,1,1,0,0,0,0,0
Nigel,54,1,0.226,0,1,1,0,0,1,0,0,0,0,0
Nate,63,1,0.77,1,0,0,1,0,1,0,0,0,0,0
Idalia,41,0,0.086,1,0,1,0,1,1,0,0,0,0,0
Guillermina,56,0,0.085,1,1,0,1,0,1,0,0,0,0,0
Brad,19,1,0.839,1,1,1,0,1,1,0,0,0,0,0
Freddy,48,1,0.729,0,0,1,0,0,1,0,0,0,0,0
Dalia,20,0,0.457,1,0,0,1,1,1,0,0,0,0,0
Elva,21,0,0.304,0,0,1,0,0,1,0,0,0,0,0
Lety,37,0,0.505,1,1,1,1,0,1,0,0,0,0,0
Johnathan,29,1,0.497,1,1,0,0,0,1,0,0,0,0,0
Chad,25,1,0.824,0,0,1,0,1,1,0,0,0,0,0
William,25,1,0.972,0,1,1,0,0,1,0,0,0,0,0
Janeth,62,0,0.395,1,1,0,1,1,1,0,0,0,0,0
Renata,39,0,0.247,0,0,0,0,1,1,0,0,0,0,0
Junior,46,1,0.817,0,0,1,1,0,1,0,0,0,0,0
Lidia,57,0,0.691,1,1,0,1,1,1,0,0,0,0,0
Sebastian,22,1,0.777,0,0,1,1,0,1,0,0,0,0,0
Doug,29,1,0.81,0,0,0,1,1,1,0,0,0,0,0
Michele,28,1,0.804,0,1,0,0,1,1,0,0,0,0,0
Axel,41,1,0.513,1,1,1,1,1,1,0,0,0,0,0
Christopher,48,1,0.954,0,0,0,1,0,1,0,0,0,0,0
Mickey,36,1,0.485,1,0,1,1,1,1,0,0,0,0,0
Mariela,26,0,0.59,0,1,1,0,1,1,0,0,0,0,0
Lacey,42,0,0.333,1,0,0,0,0,1,0,0,0,0,0
Samuel,33,1,0.895,0,0,0,1,1,1,0,0,0,0,0
Jeremy,39,1,0.902,1,0,0,0,1,1,0,0,0,0,0
Mery,42,0,0.06,0,0,0,0,1,1,0,0,0,0,0
Violeta,30,0,0.251,1,0,1,1,0,1,0,0,0,0,0
Cathy,28,0,0.858,0,0,1,0,1,1,0,0,0,0,0
Louise,50,0,0.547,1,1,0,1,0,1,0,0,0,0,0
Víctor,62,1,0.34,1,0,0,1,1,1,0,0,0,0,0
Nia,31,0,0.096,1,1,1,0,1,1,0,0,0,0,0
Isaiah,19,1,0.689,0,1,0,1,0,1,0,0,0,0,0
Margo,24,0,0.112,0,0,0,0,0,1,0,1,0,0,0
Tristan,60,1,0.594,1,1,0,0,1,1,0,0,0,0,0
Perez,42,1,0.223,0,0,0,1,0,1,0,0,0,0,0
Kellie,38,0,0.396,1,1,1,1,0,1,0,0,0,0,0
Letty,48,0,0.462,1,1,0,0,0,1,0,0,0,0,0
Azucena,35,0,0.234,0,1,1,1,1,1,0,0,0,0,0
Dick,50,1,0.366,1,1,0,0,1,1,0,0,0,0,0
Donnie,30,1,0.476,1,0,0,1,1,1,0,0,0,0,0
Dulce,57,0,0.642,0,0,0,0,1,1,0,0,0,0,0
Debi,47,0,0.139,1,1,0,0,1,1,0,0,0,0,0
Keri,27,0,0.215,1,0,0,0,0,1,0,0,0,0,0
Israel,20,1,0.797,1,0,1,0,0,1,0,0,0,0,0
Stacey,45,0,0.794,0,0,0,1,1,1,0,0,0,0,0
Leonor,56,0,0.377,0,1,1,0,1,1,0,0,0,0,0
Terrence,29,1,0.433,0,1,1,1,1,1,0,0,0,0,0
Belkis,39,0,0.042,0,0,0,0,0,1,0,0,0,0,0
Luis,61,1,0.994,1,1,0,1,1,1,0,0,0,0,0
Hailey,65,0,0.595,0,0,0,1,1,1,0,0,0,0,0
Geraldine,32,0,0.286,1,0,1,1,0,1,0,0,0,0,0
Denny,27,1,0.271,1,1,0,0,0,1,0,0,0,0,0
Hayley,62,0,0.399,1,1,1,0,0,1,0,0,0,0,0
Gus,34,1,0.438,1,1,0,0,0,1,0,0,0,0,0
José,55,1,0.809,1,0,0,0,1,1,0,0,0,0,0
Malcolm,25,1,0.395,0,0,1,1,0,1,0,0,0,0,0
Nicola,61,1,0.097,0,0,1,0,0,1,0,0,0,0,0
Van,19,1,0.342,0,1,1,0,0,1,0,0,0,0,0
Denis,64,1,0.598,1,1,1,1,0,1,0,0,0,0,0
Magdalena,57,0,0.551,0,1,0,0,0,1,0,0,0,0,0
Elsie,37,0,0.095,0,0,1,0,0,1,0,0,0,0,0
Lin,41,0,0.012,0,1,0,1,0,1,0,0,0,0,0
Marcelo,42,1,0.653,0,1,1,0,0,1,0,0,0,0,0
Kyla,39,0,0.03,0,1,0,1,1,1,0,0,0,0,0
Karin,35,0,0.387,1,0,1,1,0,1,0,0,0,0,0
Shawna,33,0,0.368,1,0,0,0,0,1,0,0,0,0,0
Cruz,32,1,0.649,0,1,1,0,1,1,0,0,0,0,0
Maria Elena,31,0,0.37,1,1,1,1,1,1,0,0,0,0,0
Jenny,56,0,0.935,1,1,0,0,0,1,0,0,0,0,0
Svetlana,62,0,0.162,1,0,1,0,1,1,0,0,0,0,0
Bo,43,1,0.447,1,0,1,0,0,1,0,0,0,0,0
Fausto,61,1,0.383,0,0,0,0,0,1,0,0,0,0,0
Dalton,57,1,0.507,1,1,0,1,0,1,0,0,0,0,0
Lesley,46,0,0.361,0,1,0,0,1,1,0,0,0,0,0
Jp,59,1,0.392,1,1,1,0,0,1,0,0,0,0,0
Leandro,22,1,0.288,1,0,0,1,1,1,0,0,0,0,0
Gee,27,1,0.121,1,0,1,1,0,1,0,0,0,0,0
Kathleen,62,0,0.826,0,1,0,1,1,1,0,0,0,0,0
Nubia,29,0,0.015,0,0,1,0,1,1,0,0,0,0,0
Theresa,29,0,0.83,0,0,1,1,0,1,0,0,0,0,0
Silvia,55,0,0.908,0,0,1,1,1,1,0,0,0,0,0
Jeanette,46,0,0.657,0,0,0,0,1,1,0,0,0,0,0
Marissa,19,0,0.733,1,1,1,0,1,1,0,0,0,0,0
Pierre,26,1,0.55,1,0,0,0,1,1,0,0,0,0,0
Issa,44,1,0.034,1,0,0,0,0,1,0,0,0,0,0
Cecil,55,1,0.136,0,1,1,1,0,1,0,0,0,0,0
Trina,41,0,0.369,0,0,0,0,1,1,0,0,0,0,0
Corina,27,0,0.202,1,1,1,1,0,1,0,0,0,0,0
Timothy,36,1,0.838,0,1,0,1,1,1,0,0,0,0,0
Rico,35,1,0.457,1,0,0,0,0,1,0,0,0,0,0
Efrain,30,1,0.702,0,0,0,0,1,1,0,0,0,0,0
Barry,45,1,0.703,1,0,0,1,1,1,0,0,0,0,0
Leslie,29,0,0.915,1,0,1,0,0,1,0,0,0,0,0
Dustin,65,1,0.766,0,1,1,1,1,1,0,0,0,0,0
Bethany,65,0,0.563,0,1,0,1,0,1,0,0,0,0,0
Pat,47,0,0.878,1,1,1,0,0,1,0,0,0,0,0
Jazmine,29,0,0.267,1,0,0,1,1,1,0,0,0,0,0
Kristin,20,0,0.801,1,1,1,0,1,1,0,0,0,0,0
