term,estimate,std.error,statistic,p.value,model
SlightCough,8.190154206,0.5956788,13.74927931,5.14E-43,FE1
FeverCough,30.70705688,0.591370938,51.92520446,0,FE1
SlightCough,8.556332251,0.630123566,13.57881645,5.35E-42,FE2
FeverCough,30.66637311,0.621552911,49.33831469,0,FE2
CaseFeedback,0.264342107,0.008530852,30.98660252,8.17E-211,FE2
SlightCough,8.174179175,0.615015189,13.29102,2.61E-40,FE3
FeverCough,30.5355559,0.607347333,50.27692436,0,FE3
CaseFeedback,0.524810343,0.021180973,24.7774426,1.57E-135,FE3
CaseFeedback2,-0.01756813,0.001139326,-15.41975328,1.21E-53,FE3
(Intercept),-4.046117409,0.272302579,-14.85890229,6.09E-50,RE4
SlightCough,7.907514994,0.293222425,26.96763385,3.54E-160,RE4
FeverCough,18.13436369,6.130502076,2.958055223,0.003095867,RE4
CaseFeedback,0.518379077,0.010487127,49.43003903,0,RE4
CaseFeedback2,-0.017528465,0.000618229,-28.35269247,7.75E-177,RE4
agreeableness,-1.829828198,0.137893668,-13.26984931,3.46E-40,RE4
conscientiousness,-0.397644082,0.137341768,-2.895288793,0.003788099,RE4
extraversion,-1.133430955,0.137453651,-8.245913759,1.64E-16,RE4
emotional_stability,-1.363667496,0.138159374,-9.87024954,5.60E-23,RE4
intellect,-2.644464334,0.140368687,-18.83941775,3.59E-79,RE4
age,0.080099208,0.005079407,15.76940073,5.05E-56,RE4
gender,-0.44393638,0.136644324,-3.248846112,0.001158741,RE4
