"term","estimate","std.error","statistic","p.value","model"
"SlightCough",8.19015420560495,0.595678800406201,13.7492793096212,5.14393759414306e-43,"FE1"
"FeverCough",30.7070568802354,0.591370938256315,51.9252044592801,0,"FE1"
"SlightCough",8.55633225079496,0.630123566357689,13.5788164538159,5.34836886094151e-42,"FE2"
"FeverCough",30.6663731068148,0.621552910795082,49.3383146860125,0,"FE2"
"CaseFeedback",0.264342106577655,0.00853085156451317,30.986602518941,8.16863415301631e-211,"FE2"
"SlightCough",8.17417917549868,0.615015188684163,13.2910200038921,2.60995887801163e-40,"FE3"
"FeverCough",30.5355558994375,0.607347332517725,50.2769243636159,0,"FE3"
"CaseFeedback",0.524810343071338,0.0211809730130251,24.7774426013672,1.56958195130611e-135,"FE3"
"CaseFeedback2",-0.017568129536886,0.00113932624078389,-15.4197532787436,1.20564076797583e-53,"FE3"
"(Intercept)",-4.04611740861309,0.272302578619296,-14.8589022885087,6.09151271043925e-50,"RE4"
"SlightCough",7.90751499446381,0.293222425015096,26.9676338501624,3.5437236251655e-160,"RE4"
"FeverCough",18.134363685342,6.13050207616599,2.9580552228902,0.00309586656724094,"RE4"
"CaseFeedback",0.518379077153978,0.0104871265996499,49.4300390319769,0,"RE4"
"CaseFeedback2",-0.0175284646465472,0.000618229279875627,-28.3526924672243,7.75410910273873e-177,"RE4"
"agreeableness",-1.8298281977283,0.137893668226744,-13.2698493067821,3.46276383817685e-40,"RE4"
"conscientiousness",-0.397644082226807,0.13734176817749,-2.89528879308531,0.00378809851167794,"RE4"
"extraversion",-1.13343095487981,0.137453651352932,-8.24591375873725,1.63902852890173e-16,"RE4"
"emotional_stability",-1.36366749593605,0.138159373825303,-9.87024953992879,5.60250592657937e-23,"RE4"
"intellect",-2.64446433368655,0.140368687026622,-18.8394177483829,3.58891938204396e-79,"RE4"
"age",0.0800992078978954,0.00507940721896739,15.7694007282565,5.05269169477195e-56,"RE4"
"gender",-0.443936379885498,0.136644323749965,-3.24884611158692,0.00115874146498921,"RE4"
