Susceptible,Infected,Recovered,# Home,# Outside,Daily New Cases Day 4
998,2,0,0,1000,0
995,5,0,4,996,0
993,7,0,3,997,0
988,12,0,5,995,2
987,13,0,217,783,3
983,17,0,228,772,2
980,18,2,222,778,5
977,18,5,429,571,1
974,19,7,212,788,4
972,16,12,196,804,3
966,21,13,243,757,3
961,22,17,244,756,3
946,34,20,237,763,2
933,44,23,225,775,6
909,65,26,251,749,5
897,75,28,447,553,15
893,73,34,643,357,13
887,74,39,564,436,24
887,59,54,787,213,12
885,48,67,435,565,4
883,26,91,233,767,6
883,14,103,260,740,0
874,19,107,10,990,2
868,19,113,219,781,2
859,28,113,209,791,0
838,47,115,6,994,9
829,54,117,283,717,6
814,69,117,271,729,9
799,75,126,302,698,21
794,74,132,585,415,9
788,71,141,302,698,15
786,52,162,647,353,15
786,43,171,646,354,5
786,28,186,454,546,6
786,13,201,278,722,2
786,8,206,234,766,0
784,4,212,6,994,0
783,3,214,4,996,0
783,3,214,3,997,0
783,3,214,5,995,2
783,3,214,212,788,1
783,3,214,220,780,0
779,5,216,5,995,0
772,11,217,2,998,0
764,19,217,5,995,0
747,36,217,6,994,4
734,49,217,192,808,7
717,66,217,230,770,8
705,74,221,309,691,17
702,70,228,555,445,13
696,68,236,560,440,17
693,54,253,568,432,12
691,43,266,435,565,3
688,29,283,256,744,6
687,18,295,266,734,3
685,17,298,245,755,2
684,12,304,223,777,3
683,10,307,238,762,1
679,12,309,224,776,2
677,11,312,221,779,1
675,12,313,208,792,1
674,11,315,210,790,4
672,12,316,192,808,2
671,12,317,219,781,2
671,8,321,213,787,1
671,6,323,220,780,2
671,4,325,215,785,1
671,3,326,214,786,0
668,4,328,6,994,0
668,3,329,3,997,0
668,3,329,2,998,0
667,4,329,2,998,3
667,4,329,226,774,0
667,4,329,6,994,0
666,2,332,7,993,1
666,2,332,210,790,0
665,3,332,6,994,0
665,2,333,6,994,1
665,2,333,217,783,0
664,3,333,5,995,1
663,3,334,208,792,0
662,4,334,5,995,0
659,6,335,5,995,1
656,9,335,218,782,1
655,10,335,217,783,1
654,10,336,212,788,3
654,9,337,235,765,3
653,9,338,236,764,1
652,7,341,217,783,1
652,4,344,218,782,0
651,4,345,3,997,1
650,4,346,215,785,1
648,6,346,213,787,0
647,6,347,5,995,1
646,6,348,214,786,1
646,6,348,218,782,2
646,5,349,225,775,1
646,4,350,208,792,1
646,2,352,215,785,0
644,3,353,4,996,0
643,3,354,4,996,0
643,3,354,5,995,0
643,3,354,4,996,2
643,3,354,205,795,1
643,3,354,220,780,0
641,3,356,7,993,0
640,3,357,4,996,0
640,3,357,4,996,0
637,6,357,4,996,2
636,7,357,207,793,1
636,7,357,213,787,0
634,7,359,3,997,3
632,8,360,234,766,1
631,9,360,215,785,0
622,15,363,6,994,2
620,16,364,213,787,2
618,18,364,217,783,1
616,18,366,228,772,9
615,17,368,283,717,2
612,19,369,231,769,2
610,12,378,228,772,2
606,14,380,220,780,1
603,15,382,216,784,3
598,18,384,242,758,2
595,20,385,214,786,4
594,18,388,194,806,3
594,16,390,240,760,5
594,12,394,443,557,3
594,9,397,240,760,1
594,4,402,220,780,0
594,1,405,7,993,0
592,2,406,3,997,0
591,3,406,3,997,0
589,5,406,3,997,0
586,8,406,5,995,2
586,8,406,214,786,1
586,8,406,211,789,2
586,6,408,218,782,3
586,5,409,238,762,0
586,3,411,8,992,0
584,2,414,5,995,0
583,3,414,5,995,0
580,6,414,4,996,0
575,11,414,4,996,2
571,15,414,214,786,1
567,19,414,207,793,3
562,22,416,228,772,5
559,24,417,430,570,4
555,25,420,195,805,4
555,20,425,206,794,5
553,18,429,435,565,3
553,14,433,238,762,4
552,10,438,194,806,0
551,8,441,11,989,2
550,5,445,199,801,0
550,5,445,5,995,1
550,3,447,215,785,1
550,3,447,216,784,1
550,2,448,209,791,0
550,1,449,5,995,0
549,1,450,4,996,0
549,1,450,4,996,0
547,3,450,4,996,0
544,6,450,3,997,1
541,9,450,208,792,0
535,15,450,5,995,2
529,20,451,217,783,3
525,24,451,234,766,3
519,28,453,234,766,6
517,27,456,252,748,6
517,24,459,264,736,4
517,18,465,201,799,6
517,12,471,261,739,2
517,8,475,213,787,0
516,3,481,6,994,0
515,2,483,3,997,0
514,3,483,4,996,0
512,5,483,1,999,1
512,5,483,214,786,1
511,6,483,210,790,1
510,6,484,206,794,2
510,5,485,211,789,0
508,6,486,7,993,1
507,5,488,217,783,1
506,6,488,210,790,0
505,6,489,6,994,2
503,7,490,212,788,1
501,9,490,214,786,1
500,8,492,221,779,1
499,8,493,228,772,2
498,8,494,217,783,2
497,8,495,219,781,1
497,6,497,213,787,1
497,4,499,214,786,1
497,3,500,204,796,1
497,2,501,212,788,0
497,1,502,6,994,0
497,0,503,4,996,0
