"term","estimate","std.error","statistic","p.value","model"
"SlightCough",8.19015420560495,0.595678800406201,13.7492793096212,5.14393759414306e-43,"FE1"
"FeverCough",30.7070568802354,0.591370938256315,51.9252044592801,0,"FE1"
"SlightCough",8.55633225079491,0.63012356635769,13.5788164538158,5.34836886094982e-42,"FE2"
"FeverCough",30.6663731068168,0.621552910795087,49.3383146860154,0,"FE2"
"CF1",253.905043880137,8.19402655470001,30.986602518941,8.16863415299741e-211,"FE2"
"SlightCough",8.17417917549852,0.615015188684293,13.291020003889,2.60995887811871e-40,"FE3"
"FeverCough",30.5355558994391,0.607347332517855,50.2769243636078,0,"FE3"
"CF1",264.407817378226,8.40914124908965,31.4429035672162,5.24827375280589e-217,"FE3"
"CF2",-99.4760963195692,6.45121193066038,-15.4197532787279,1.20564076826755e-53,"FE3"
"(Intercept)",0.899097145540511,0.175211614097867,5.13149285319811,2.87453141395037e-07,"RE4"
"SlightCough",7.89757594271777,0.315484806091515,25.0331419777689,2.66462348256681e-138,"RE4"
"FeverCough",48.3486125667271,3088935.84171953,1.5652190606786e-05,0.999987511358773,"RE4"
"CF1",258.650766597523,3.90347474025963,66.2616729474008,0,"RE4"
"CF2",-99.2533553723012,3.49027131680375,-28.4371461022101,7.0271901559142e-178,"RE4"
"agreeableness",-1.83219196317906,0.138220424953135,-13.2555804527463,4.18863444868181e-40,"RE4"
"conscientiousness",-0.404645086040357,0.137981346464281,-2.93260717052872,0.00336128890666199,"RE4"
"extraversion",-1.13878195759391,0.137875596471259,-8.2594888924473,1.46297545768478e-16,"RE4"
"emotional_stability",-1.36037641534068,0.138272971743325,-9.83833932394202,7.69708246734514e-23,"RE4"
"intellect",-2.64760887092105,0.139358292875375,-18.9985742239879,1.75240531905713e-80,"RE4"
"age_z",1.10308615675279,0.0700759040914814,15.7413046760375,7.88020175055958e-56,"RE4"
"gender",-0.452048451957351,0.137106565071572,-3.29705912857911,0.000977029300492713,"RE4"
