,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,997,3,0,3,997,1,3,4970,0,5000
2,2,996,4,0,2,998,1,4,4982,0,5000
3,3,994,6,0,1,999,2,6,4990,2,5000
4,4,994,6,0,223,777,0,6,3028,1,5000
5,5,994,6,0,207,793,0,6,3140,1,5000
6,6,994,4,2,207,793,0,6,3136,2,5000
7,7,994,3,3,225,775,0,6,3018,0,5000
8,8,992,4,4,4,996,2,8,4952,0,5000
9,9,990,4,6,3,997,2,10,4972,0,5000
10,10,985,9,6,2,998,5,15,4984,0,5000
11,11,978,16,6,2,998,7,22,4980,2,5000
12,12,972,22,6,225,775,6,28,2996,2,5000
13,13,965,29,6,227,773,7,35,2996,5,5000
14,14,963,29,8,459,541,2,37,1466,7,5000
15,15,957,33,10,226,774,6,43,2996,6,5000
16,16,951,34,15,248,752,6,49,2842,7,5000
17,17,945,33,22,230,770,6,55,2962,2,5000
18,18,939,33,28,229,771,6,61,2962,6,5000
19,19,928,37,35,248,752,11,72,2806,6,5000
20,20,917,46,37,248,752,11,83,2826,6,5000
21,21,910,47,43,264,736,7,90,2708,6,5000
22,22,899,52,49,257,743,11,101,2768,11,5000
23,23,888,57,55,334,666,11,112,2236,11,5000
24,24,877,62,61,340,660,11,123,2180,7,5000
25,25,865,63,72,246,754,12,135,2848,11,5000
26,26,855,62,83,350,650,10,145,2102,11,5000
27,27,852,58,90,339,661,3,148,2186,11,5000
28,28,844,55,101,339,661,8,156,2196,12,5000
29,29,842,46,112,456,544,2,158,1458,10,5000
30,30,833,44,123,149,851,9,167,3606,3,5000
31,31,830,35,135,269,731,3,170,2684,8,5000
32,32,824,31,145,312,688,6,176,2362,2,5000
33,33,818,34,148,221,779,6,182,3034,9,5000
34,34,814,30,156,283,717,4,186,2598,3,5000
35,35,811,31,158,252,748,3,189,2792,6,5000
36,36,808,25,167,260,740,3,192,2712,6,5000
37,37,805,25,170,258,742,3,195,2746,4,5000
38,38,801,23,176,228,772,4,199,2972,3,5000
39,39,798,20,182,255,745,3,202,2770,3,5000
40,40,797,17,186,250,750,1,203,2810,3,5000
41,41,795,16,189,260,740,2,205,2744,4,5000
42,42,795,13,192,217,783,0,205,3064,3,5000
43,43,795,10,195,254,746,0,205,2792,1,5000
44,44,795,6,199,218,782,0,205,3060,2,5000
45,45,795,3,202,220,780,0,205,3042,0,5000
46,46,795,2,203,7,993,0,205,4924,0,5000
47,47,795,0,205,3,997,0,205,4970,0,5000
