,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,995,5,0,2,998,3,5,4982,0,5000
2,2,986,14,0,3,997,9,14,4976,0,5000
3,3,978,22,0,1,999,8,22,4990,2,5000
4,4,965,35,0,218,782,13,35,3050,3,5000
5,5,950,50,0,229,771,15,50,2976,9,5000
6,6,930,68,2,290,710,20,70,2536,8,5000
7,7,914,81,5,342,658,16,86,2186,13,5000
8,8,901,85,14,547,453,13,99,1034,15,5000
9,9,896,82,22,654,346,5,104,598,20,5000
10,10,891,74,35,489,511,5,109,1312,16,5000
11,11,887,63,50,553,447,4,113,1000,13,5000
12,12,881,49,70,561,439,6,119,974,5,5000
13,13,874,40,86,465,535,7,126,1438,5,5000
14,14,866,35,99,453,547,8,134,1492,4,5000
15,15,857,39,104,234,766,9,143,2924,6,5000
16,16,847,44,109,282,718,10,153,2578,7,5000
17,17,835,52,113,262,738,12,165,2712,8,5000
18,18,828,53,119,335,665,7,172,2234,9,5000
19,19,813,61,126,287,713,15,187,2548,10,5000
20,20,798,68,134,152,848,15,202,3594,12,5000
21,21,790,67,143,442,558,8,210,1564,7,5000
22,22,784,63,153,281,719,6,216,2584,15,5000
23,23,783,52,165,643,357,1,217,642,15,5000
24,24,783,45,172,641,359,0,217,648,8,5000
25,25,781,32,187,344,656,2,219,2174,6,5000
26,26,781,17,202,300,700,0,219,2446,1,5000
27,27,780,10,210,206,794,1,220,3152,0,5000
28,28,775,9,216,5,995,5,225,4940,2,5000
29,29,769,14,217,218,782,6,231,3072,0,5000
30,30,762,21,217,2,998,7,238,4980,1,5000
31,31,759,22,219,200,800,3,241,3198,5,5000
32,32,757,24,219,441,559,2,243,1568,6,5000
33,33,753,27,220,277,723,4,247,2628,7,5000
34,34,751,24,225,254,746,2,249,2776,3,5000
35,35,749,20,231,237,763,2,251,2890,2,5000
36,36,745,17,238,213,787,4,255,3094,4,5000
37,37,744,15,241,212,788,1,256,3096,2,5000
38,38,741,16,243,220,780,3,259,3052,2,5000
39,39,738,15,247,223,777,3,262,3018,4,5000
40,40,734,17,249,213,787,4,266,3078,1,5000
41,41,732,17,251,196,804,2,268,3234,3,5000
42,42,731,14,255,237,763,1,269,2920,3,5000
43,43,731,13,256,233,767,0,269,2952,4,5000
44,44,731,10,259,222,778,0,269,3038,2,5000
45,45,731,7,262,220,780,0,269,3040,1,5000
46,46,730,4,266,199,801,1,270,3206,0,5000
47,47,728,4,268,2,998,2,272,4978,0,5000
48,48,722,9,269,1,999,6,278,4986,0,5000
49,49,716,15,269,1,999,6,284,4986,1,5000
50,50,711,20,269,195,805,5,289,3244,2,5000
51,51,705,26,269,229,771,6,295,2978,6,5000
52,52,700,30,270,280,720,5,300,2592,6,5000
53,53,693,35,272,288,712,7,307,2530,5,5000
54,54,692,30,278,451,549,1,308,1530,6,5000
55,55,688,28,284,282,718,4,312,2572,5,5000
56,56,688,23,289,454,546,0,312,1474,7,5000
57,57,686,19,295,254,746,2,314,2790,1,5000
58,58,684,16,300,210,790,2,316,3112,4,5000
59,59,683,10,307,223,777,1,317,3016,0,5000
60,60,677,15,308,5,995,6,323,4954,2,5000
61,61,675,13,312,222,778,2,325,3026,2,5000
62,62,673,15,312,215,785,2,327,3090,1,5000
63,63,671,15,314,197,803,2,329,3220,6,5000
64,64,668,16,316,284,716,3,332,2586,2,5000
65,65,663,20,317,233,767,5,337,2956,2,5000
66,66,659,18,323,214,786,4,341,3078,2,5000
67,67,658,17,325,223,777,1,342,3024,3,5000
68,68,656,17,327,243,757,2,344,2838,5,5000
69,69,655,16,329,433,567,1,345,1604,4,5000
70,70,655,13,332,211,789,0,345,3120,1,5000
71,71,655,8,337,197,803,0,345,3228,2,5000
72,72,655,4,341,221,779,0,345,3022,1,5000
73,73,655,3,342,188,812,0,345,3296,0,5000
74,74,655,1,344,5,995,0,345,4944,0,5000
75,75,655,0,345,1,999,0,345,4986,0,5000
76,76,655,0,345,1,999,0,345,4988,0,5000
