,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,993,7,0,2,998,5,7,4978,0,5000
2,2,990,10,0,1,999,3,10,4984,0,5000
3,3,985,15,0,1,999,5,15,4988,2,5000
4,4,980,20,0,212,788,5,20,3112,5,5000
5,5,978,22,0,430,570,2,22,1616,3,5000
6,6,974,24,2,248,752,4,26,2844,5,5000
7,7,972,21,7,449,551,2,28,1504,5,5000
8,8,968,22,10,444,556,4,32,1540,2,5000
9,9,964,21,15,223,777,4,36,3036,4,5000
10,10,959,21,20,205,795,5,41,3162,2,5000
11,11,952,26,22,214,786,7,48,3092,4,5000
12,12,947,27,26,201,799,5,53,3192,4,5000
13,13,937,35,28,203,797,10,63,3176,5,5000
14,14,934,34,32,441,559,3,66,1558,7,5000
15,15,926,38,36,234,766,8,74,2942,5,5000
16,16,918,41,41,440,560,8,82,1546,10,5000
17,17,901,51,48,157,843,17,99,3546,3,5000
18,18,884,63,53,257,743,17,116,2780,8,5000
19,19,871,66,63,321,679,13,129,2312,8,5000
20,20,861,73,66,337,663,10,139,2180,17,5000
21,21,854,72,74,526,474,7,146,1124,17,5000
22,22,847,71,82,536,464,7,153,1074,13,5000
23,23,842,59,99,531,469,5,158,1108,10,5000
24,24,831,53,116,169,831,11,169,3474,7,5000
25,25,824,47,129,255,745,7,176,2778,7,5000
26,26,812,49,139,239,761,12,188,2910,5,5000
27,27,807,47,146,454,546,5,193,1470,11,5000
28,28,799,48,153,310,690,8,201,2372,7,5000
29,29,791,51,158,254,746,8,209,2782,12,5000
30,30,788,43,169,429,571,3,212,1612,5,5000
31,31,786,38,176,446,554,2,214,1538,8,5000
32,32,779,33,188,320,680,7,221,2314,8,5000
33,33,776,31,193,308,692,3,224,2402,3,5000
34,34,769,30,201,240,760,7,231,2898,2,5000
35,35,761,30,209,224,776,8,239,3022,7,5000
36,36,756,32,212,244,756,5,244,2842,3,5000
37,37,750,36,214,240,760,6,250,2898,7,5000
38,38,744,35,221,234,766,6,256,2916,8,5000
39,39,738,38,224,317,683,6,262,2312,5,5000
40,40,737,32,231,452,548,1,263,1502,6,5000
41,41,733,28,239,280,720,4,267,2608,6,5000
42,42,732,24,244,273,727,1,268,2656,6,5000
43,43,730,20,250,273,727,2,270,2660,1,5000
44,44,728,16,256,214,786,2,272,3084,4,5000
45,45,727,11,262,189,811,1,273,3280,1,5000
46,46,726,11,263,207,793,1,274,3156,2,5000
47,47,725,8,267,217,783,1,275,3062,2,5000
48,48,725,7,268,208,792,0,275,3138,1,5000
49,49,725,5,270,203,797,0,275,3174,1,5000
50,50,725,3,272,200,800,0,275,3200,1,5000
51,51,725,2,273,208,792,0,275,3130,0,5000
52,52,723,3,274,2,998,2,277,4982,0,5000
53,53,723,2,275,1,999,0,277,4994,0,5000
54,54,721,4,275,2,998,2,279,4982,0,5000
55,55,718,7,275,2,998,3,282,4978,2,5000
56,56,717,8,275,203,797,1,283,3180,0,5000
57,57,710,15,275,3,997,7,290,4970,2,5000
58,58,706,17,277,212,788,4,294,3104,3,5000
59,59,701,22,277,240,760,5,299,2878,1,5000
60,60,697,24,279,213,787,4,303,3098,7,5000
61,61,692,26,282,222,778,5,308,3024,4,5000
62,62,688,29,283,202,798,4,312,3184,5,5000
63,63,684,26,290,445,555,4,316,1536,4,5000
64,64,681,25,294,198,802,3,319,3216,5,5000
65,65,679,22,299,448,552,2,321,1536,4,5000
66,66,677,20,303,210,790,2,323,3112,4,5000
67,67,674,18,308,200,800,3,326,3200,3,5000
68,68,674,14,312,251,749,0,326,2804,2,5000
69,69,672,12,316,219,781,2,328,3038,2,5000
70,70,672,9,319,210,790,0,328,3118,3,5000
71,71,671,8,321,229,771,1,329,2962,0,5000
72,72,669,8,323,6,994,2,331,4942,2,5000
73,73,668,6,326,214,786,1,332,3086,0,5000
74,74,668,6,326,3,997,0,332,4966,1,5000
75,75,666,6,328,214,786,2,334,3078,2,5000
76,76,665,7,328,206,794,1,335,3150,1,5000
77,77,663,8,329,212,788,2,337,3106,0,5000
78,78,659,10,331,3,997,4,341,4972,2,5000
79,79,659,9,332,206,794,0,341,3160,1,5000
80,80,657,11,332,202,798,2,343,3184,2,5000
81,81,656,10,334,216,784,1,344,3080,4,5000
82,82,655,10,335,198,802,1,345,3216,0,5000
83,83,654,9,337,6,994,1,346,4944,2,5000
84,84,653,6,341,215,785,1,347,3080,1,5000
85,85,652,7,341,4,996,1,348,4970,1,5000
86,86,652,5,343,204,796,0,348,3172,1,5000
87,87,652,4,344,207,793,0,348,3150,1,5000
88,88,652,3,345,209,791,0,348,3124,1,5000
89,89,652,2,346,205,795,0,348,3156,0,5000
90,90,651,2,347,3,997,1,349,4974,0,5000
91,91,651,1,348,2,998,0,349,4978,0,5000
92,92,651,1,348,2,998,0,349,4984,0,5000
93,93,651,1,348,3,997,0,349,4974,1,5000
94,94,651,1,348,210,790,0,349,3120,0,5000
95,95,651,1,348,3,997,0,349,4970,0,5000
96,96,651,0,349,2,998,0,349,4976,0,5000
