,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,997,3,0,4,996,1,3,4964,0,5000
2,2,993,7,0,4,996,4,7,4960,0,5000
3,3,983,17,0,2,998,10,17,4980,2,5000
4,4,967,33,0,204,796,16,33,3168,1,5000
5,5,952,48,0,193,807,15,48,3248,4,5000
6,6,934,64,2,205,795,18,66,3156,10,5000
7,7,908,89,3,158,842,26,92,3540,16,5000
8,8,901,92,7,542,458,7,99,1056,15,5000
9,9,897,86,17,618,382,4,103,730,18,5000
10,10,893,74,33,470,530,4,107,1382,26,5000
11,11,891,61,48,716,284,2,109,398,7,5000
12,12,889,45,66,259,741,2,111,2740,4,5000
13,13,883,25,92,224,776,6,117,3022,4,5000
14,14,878,23,99,202,798,5,122,3180,2,5000
15,15,873,24,103,217,783,5,127,3070,2,5000
16,16,864,29,107,203,797,9,136,3174,6,5000
17,17,855,36,109,242,758,9,145,2882,5,5000
18,18,847,42,111,432,568,8,153,1602,5,5000
19,19,842,41,117,430,570,5,158,1642,9,5000
20,20,836,42,122,291,709,6,164,2502,9,5000
21,21,832,41,127,294,706,4,168,2480,8,5000
22,22,829,35,136,295,705,3,171,2482,5,5000
23,23,827,28,145,435,565,2,173,1592,6,5000
24,24,823,24,153,259,741,4,177,2756,4,5000
25,25,817,25,158,193,807,6,183,3250,3,5000
26,26,809,27,164,226,774,8,191,3002,2,5000
27,27,798,34,168,214,786,11,202,3096,4,5000
28,28,785,44,171,199,801,13,215,3208,6,5000
29,29,773,54,173,262,738,12,227,2726,8,5000
30,30,767,56,177,309,691,6,233,2388,11,5000
31,31,763,54,183,339,661,4,237,2198,13,5000
32,32,761,48,191,536,464,2,239,1050,12,5000
33,33,757,41,202,445,555,4,243,1546,6,5000
34,34,755,30,215,275,725,2,245,2640,4,5000
35,35,749,24,227,212,788,6,251,3096,2,5000
36,36,745,22,233,214,786,4,255,3092,4,5000
37,37,743,20,237,195,805,2,257,3242,2,5000
38,38,737,24,239,223,777,6,263,3004,6,5000
39,39,729,28,243,251,749,8,271,2800,4,5000
40,40,721,34,245,196,804,8,279,3238,2,5000
41,41,712,37,251,214,786,9,288,3094,6,5000
42,42,701,44,255,262,738,11,299,2734,8,5000
43,43,693,50,257,294,706,8,307,2504,8,5000
44,44,685,52,263,307,693,8,315,2410,9,5000
45,45,679,50,271,295,705,6,321,2482,11,5000
46,46,670,51,279,329,671,9,330,2240,8,5000
47,47,665,47,288,303,697,5,335,2412,8,5000
48,48,657,44,299,305,695,8,343,2398,6,5000
49,49,650,43,307,262,738,7,350,2726,9,5000
50,50,649,36,315,290,710,1,351,2506,5,5000
51,51,647,32,321,424,576,2,353,1658,8,5000
52,52,646,24,330,307,693,1,354,2386,7,5000
53,53,644,21,335,223,777,2,356,3022,1,5000
54,54,637,20,343,198,802,7,363,3214,2,5000
55,55,633,17,350,207,793,4,367,3150,1,5000
56,56,628,21,351,192,808,5,372,3266,2,5000
57,57,623,24,353,208,792,5,377,3132,7,5000
58,58,619,27,354,220,780,4,381,3054,4,5000
59,59,618,26,356,195,805,1,382,3236,5,5000
60,60,618,19,363,426,574,0,382,1656,5,5000
61,61,618,15,367,434,566,0,382,1610,4,5000
62,62,618,10,372,200,800,0,382,3198,1,5000
63,63,618,5,377,193,807,0,382,3262,0,5000
64,64,617,2,381,6,994,1,383,4942,0,5000
65,65,614,4,382,2,998,3,386,4976,0,5000
66,66,611,7,382,2,998,3,389,4984,0,5000
67,67,610,8,382,4,996,1,390,4954,1,5000
68,68,609,9,382,198,802,1,391,3216,3,5000
69,69,608,10,382,230,770,1,392,2954,3,5000
70,70,608,9,383,225,775,0,392,2992,1,5000
71,71,608,6,386,195,805,0,392,3236,1,5000
72,72,608,3,389,197,803,0,392,3228,1,5000
73,73,608,2,390,191,809,0,392,3278,0,5000
74,74,608,1,391,4,996,0,392,4964,0,5000
75,75,608,0,392,4,996,0,392,4958,0,5000
