,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,994,6,0,5,995,4,6,4952,0,5000
2,2,989,11,0,6,994,5,11,4946,0,5000
3,3,980,20,0,6,994,9,20,4944,2,5000
4,4,973,27,0,225,775,7,27,3010,4,5000
5,5,966,34,0,214,786,7,34,3080,5,5000
6,6,960,38,2,468,532,6,40,1408,9,5000
7,7,948,46,6,287,713,12,52,2552,7,5000
8,8,937,52,11,241,759,11,63,2868,7,5000
9,9,919,61,20,245,755,18,81,2858,6,5000
10,10,902,71,27,278,722,17,98,2598,12,5000
11,11,896,70,34,464,536,6,104,1440,11,5000
12,12,886,74,40,348,652,10,114,2124,18,5000
13,13,878,70,52,473,527,8,122,1398,17,5000
14,14,875,62,63,576,424,3,125,892,6,5000
15,15,868,51,81,302,698,7,132,2436,10,5000
16,16,856,46,98,169,831,12,144,3462,8,5000
17,17,850,46,104,297,703,6,150,2472,3,5000
18,18,842,44,114,257,743,8,158,2748,7,5000
19,19,836,42,122,243,757,6,164,2872,12,5000
20,20,831,44,125,463,537,5,169,1434,6,5000
21,21,827,41,132,280,720,4,173,2588,8,5000
22,22,823,33,144,301,699,4,177,2436,6,5000
23,23,819,31,150,278,722,4,181,2612,5,5000
24,24,816,26,158,468,532,3,184,1404,4,5000
25,25,811,25,164,226,774,5,189,3004,4,5000
26,26,807,24,169,214,786,4,193,3082,4,5000
27,27,800,27,173,210,790,7,200,3116,3,5000
28,28,795,28,177,242,758,5,205,2856,5,5000
29,29,792,27,181,465,535,3,208,1408,4,5000
30,30,790,26,184,219,781,2,210,3054,7,5000
31,31,788,23,189,240,760,2,212,2890,5,5000
32,32,788,19,193,466,534,0,212,1424,3,5000
33,33,786,14,200,239,761,2,214,2884,2,5000
34,34,786,9,205,237,763,0,214,2900,2,5000
35,35,784,8,208,229,771,2,216,2964,0,5000
36,36,781,9,210,7,993,3,219,4920,2,5000
37,37,780,8,212,225,775,1,220,3004,0,5000
38,38,776,12,212,8,992,4,224,4914,2,5000
39,39,774,12,214,233,767,2,226,2940,3,5000
40,40,770,16,214,229,771,4,230,2980,1,5000
41,41,768,16,216,215,785,2,232,3086,4,5000
42,42,766,15,219,217,783,2,234,3072,2,5000
43,43,766,14,220,231,769,0,234,2976,4,5000
44,44,765,11,224,224,776,1,235,3008,2,5000
45,45,765,9,226,223,777,0,235,3022,2,5000
46,46,765,5,230,224,776,0,235,2988,0,5000
47,47,764,4,232,10,990,1,236,4902,1,5000
48,48,764,2,234,216,784,0,236,3064,0,5000
49,49,764,2,234,7,993,0,236,4934,0,5000
50,50,764,1,235,7,993,0,236,4928,1,5000
51,51,764,1,235,207,793,0,236,3126,0,5000
52,52,764,1,235,6,994,0,236,4928,0,5000
53,53,764,0,236,7,993,0,236,4938,0,5000
