,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,998,2,0,2,998,0,2,4978,0,5000
2,2,995,5,0,1,999,3,5,4988,0,5000
3,3,987,13,0,1,999,8,13,4982,2,5000
4,4,980,20,0,209,791,7,20,3126,0,5000
5,5,961,39,0,5,995,19,39,4948,3,5000
6,6,946,52,2,234,766,15,54,2932,8,5000
7,7,931,67,2,313,687,15,69,2352,7,5000
8,8,911,84,5,255,745,20,89,2772,19,5000
9,9,897,90,13,516,484,14,103,1174,15,5000
10,10,891,89,20,655,345,6,109,598,15,5000
11,11,888,73,39,665,335,3,112,566,20,5000
12,12,886,60,54,496,504,2,114,1260,14,5000
13,13,882,49,69,560,440,4,118,968,6,5000
14,14,880,31,89,301,699,2,120,2422,3,5000
15,15,877,20,103,256,744,3,123,2766,2,5000
16,16,871,20,109,216,784,6,129,3060,4,5000
17,17,864,24,112,196,804,7,136,3234,2,5000
18,18,855,31,114,220,780,9,145,3038,3,5000
19,19,846,36,118,242,758,9,154,2884,6,5000
20,20,837,43,120,278,722,9,163,2616,7,5000
21,21,831,46,123,249,751,6,169,2804,9,5000
22,22,821,50,129,291,709,10,179,2504,9,5000
23,23,814,50,136,298,702,7,186,2478,9,5000
24,24,803,52,145,298,702,11,197,2458,6,5000
25,25,796,50,154,298,702,7,204,2462,10,5000
26,26,784,53,163,155,845,12,216,3564,7,5000
27,27,772,59,169,249,751,12,228,2816,11,5000
28,28,763,58,179,335,665,9,237,2206,7,5000
29,29,746,68,186,252,748,17,254,2792,12,5000
30,30,736,67,197,466,534,10,264,1414,12,5000
31,31,728,68,204,460,540,8,272,1466,9,5000
32,32,721,63,216,316,684,7,279,2344,17,5000
33,33,716,56,228,573,427,5,284,916,10,5000
34,34,707,56,237,169,831,9,293,3472,8,5000
35,35,702,44,254,338,662,5,298,2192,7,5000
36,36,698,38,264,251,749,4,302,2794,5,5000
37,37,698,30,272,482,518,0,302,1354,9,5000
38,38,697,24,279,287,713,1,303,2538,5,5000
39,39,697,19,284,479,521,0,303,1342,4,5000
40,40,695,12,293,214,786,2,305,3080,0,5000
41,41,691,11,298,7,993,4,309,4930,1,5000
42,42,688,10,302,205,795,3,312,3162,0,5000
43,43,683,15,302,4,996,5,317,4964,2,5000
44,44,681,16,303,215,785,2,319,3068,4,5000
45,45,675,22,303,207,793,6,325,3144,3,5000
46,46,673,22,305,237,763,2,327,2902,5,5000
47,47,672,19,309,456,544,1,328,1476,2,5000
48,48,672,16,312,224,776,0,328,3004,6,5000
49,49,671,12,317,279,721,1,329,2602,2,5000
50,50,670,11,319,216,784,1,330,3060,1,5000
51,51,670,5,325,219,781,0,330,3058,0,5000
52,52,668,5,327,4,996,2,332,4950,1,5000
53,53,666,6,328,204,796,2,334,3172,1,5000
54,54,664,8,328,208,792,2,336,3132,0,5000
55,55,659,12,329,1,999,5,341,4992,2,5000
56,56,655,15,330,210,790,4,345,3120,2,5000
57,57,650,20,330,205,795,5,350,3152,2,5000
58,58,642,26,332,216,784,8,358,3064,5,5000
59,59,637,29,334,461,539,5,363,1452,4,5000
60,60,632,32,336,212,788,5,368,3106,5,5000
61,61,631,28,341,472,528,1,369,1384,8,5000
62,62,629,26,345,319,681,2,371,2322,5,5000
63,63,629,21,350,481,519,0,371,1360,5,5000
64,64,628,14,358,469,531,1,372,1412,1,5000
65,65,627,10,363,215,785,1,373,3084,2,5000
66,66,627,5,368,217,783,0,373,3052,0,5000
67,67,626,5,369,3,997,1,374,4974,1,5000
68,68,625,4,371,202,798,1,375,3182,1,5000
69,69,624,5,371,210,790,1,376,3116,0,5000
70,70,623,5,372,2,998,1,377,4980,1,5000
71,71,623,4,373,197,803,0,377,3226,1,5000
72,72,623,4,373,203,797,0,377,3180,1,5000
73,73,623,3,374,193,807,0,377,3254,1,5000
74,74,623,2,375,204,796,0,377,3170,0,5000
75,75,623,1,376,4,996,0,377,4966,0,5000
76,76,623,0,377,2,998,0,377,4980,0,5000
