,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,3,997,2,4,4968,0,5000
2,2,991,9,0,2,998,5,9,4978,0,5000
3,3,985,15,0,4,996,6,15,4960,2,5000
4,4,977,23,0,213,787,8,23,3110,2,5000
5,5,967,33,0,206,794,10,33,3148,5,5000
6,6,957,41,2,467,533,10,43,1436,6,5000
7,7,948,48,4,252,748,9,52,2798,8,5000
8,8,933,58,9,315,685,15,67,2328,10,5000
9,9,916,69,15,159,841,17,84,3528,10,5000
10,10,882,95,23,153,847,34,118,3582,9,5000
11,11,855,112,33,314,686,27,145,2364,15,5000
12,12,848,109,43,634,366,7,152,672,17,5000
13,13,840,108,52,554,446,8,160,994,34,5000
14,14,839,94,67,803,197,1,161,196,27,5000
15,15,835,81,84,721,279,4,165,390,7,5000
16,16,833,49,118,278,722,2,167,2606,8,5000
17,17,831,24,145,330,670,2,169,2228,1,5000
18,18,826,22,152,230,770,5,174,2962,4,5000
19,19,817,23,160,221,779,9,183,3032,2,5000
20,20,806,33,161,223,777,11,194,3018,2,5000
21,21,796,39,165,219,781,10,204,3040,5,5000
22,22,791,42,167,463,537,5,209,1434,9,5000
23,23,782,49,169,300,700,9,218,2448,11,5000
24,24,778,48,174,308,692,4,222,2398,10,5000
25,25,765,52,183,145,855,13,235,3634,5,5000
26,26,761,45,194,486,514,4,239,1330,9,5000
27,27,753,43,204,297,703,8,247,2464,4,5000
28,28,750,41,209,229,771,3,250,2946,13,5000
29,29,750,32,218,523,477,0,250,1128,4,5000
30,30,746,32,222,220,780,4,254,3038,8,5000
31,31,745,20,235,321,679,1,255,2294,3,5000
32,32,744,17,239,237,763,1,256,2910,0,5000
33,33,734,19,247,5,995,10,266,4948,4,5000
34,34,730,20,250,208,792,4,270,3132,1,5000
35,35,722,28,250,209,791,8,278,3118,1,5000
36,36,715,31,254,222,778,7,285,3016,10,5000
37,37,706,39,255,136,864,9,294,3738,4,5000
38,38,693,51,256,217,783,13,307,3064,8,5000
39,39,689,45,266,319,681,4,311,2300,7,5000
40,40,677,53,270,239,761,12,323,2892,9,5000
41,41,670,52,278,303,697,7,330,2434,13,5000
42,42,666,49,285,525,475,4,334,1132,4,5000
43,43,662,44,294,233,767,4,338,2944,12,5000
44,44,660,33,307,422,578,2,340,1676,7,5000
45,45,659,30,311,230,770,1,341,2964,4,5000
46,46,656,21,323,226,774,3,344,3008,4,5000
47,47,656,14,330,220,780,0,344,3040,2,5000
48,48,656,10,334,223,777,0,344,3026,1,5000
49,49,656,6,338,205,795,0,344,3154,3,5000
50,50,656,4,340,227,773,0,344,2982,0,5000
51,51,656,3,341,5,995,0,344,4948,0,5000
52,52,652,4,344,4,996,4,348,4956,0,5000
53,53,650,6,344,3,997,2,350,4970,0,5000
54,54,646,10,344,4,996,4,354,4964,0,5000
55,55,641,15,344,5,995,5,359,4958,4,5000
56,56,635,21,344,207,793,6,365,3144,2,5000
57,57,632,24,344,222,778,3,368,3022,4,5000
58,58,628,24,348,222,778,4,372,3038,5,5000
59,59,628,22,350,468,532,0,372,1416,6,5000
60,60,626,20,354,251,749,2,374,2814,3,5000
61,61,626,15,359,241,759,0,374,2888,4,5000
62,62,626,9,365,214,786,0,374,3074,0,5000
63,63,621,11,368,8,992,5,379,4920,2,5000
64,64,619,9,372,211,789,2,381,3116,0,5000
65,65,617,11,372,5,995,2,383,4942,0,5000
66,66,610,16,374,5,995,7,390,4950,5,5000
67,67,609,17,374,455,545,1,391,1482,2,5000
68,68,608,18,374,224,776,1,392,3020,2,5000
69,69,607,14,379,224,776,1,393,3008,7,5000
70,70,607,12,381,222,778,0,393,3016,1,5000
71,71,605,12,383,221,779,2,395,3028,1,5000
72,72,605,5,390,208,792,0,395,3130,1,5000
73,73,603,6,391,204,796,2,397,3162,0,5000
74,74,599,9,392,3,997,4,401,4966,2,5000
75,75,597,10,393,210,790,2,403,3114,0,5000
76,76,593,14,393,5,995,4,407,4948,2,5000
77,77,590,15,395,213,787,3,410,3096,4,5000
78,78,589,16,395,214,786,1,411,3086,2,5000
79,79,587,16,397,217,783,2,413,3074,4,5000
80,80,587,12,401,215,785,0,413,3072,3,5000
81,81,587,10,403,239,761,0,413,2912,1,5000
82,82,587,6,407,204,796,0,413,3170,2,5000
83,83,587,3,410,212,788,0,413,3096,0,5000
84,84,587,2,411,4,996,0,413,4964,0,5000
85,85,587,0,413,5,995,0,413,4952,0,5000
