,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,998,2,0,3,997,0,2,4966,0,5000
2,2,996,4,0,3,997,2,4,4970,0,5000
3,3,994,6,0,3,997,2,6,4970,2,5000
4,4,991,9,0,207,793,3,9,3156,0,5000
5,5,983,17,0,5,995,8,17,4948,2,5000
6,6,979,19,2,198,802,4,21,3218,2,5000
7,7,969,29,2,206,794,10,31,3154,3,5000
8,8,957,39,4,218,782,12,43,3042,8,5000
9,9,943,51,6,298,702,14,57,2452,4,5000
10,10,923,68,9,213,787,20,77,3086,10,5000
11,11,894,89,17,171,829,29,106,3418,12,5000
12,12,876,103,21,420,580,18,124,1686,14,5000
13,13,867,102,31,527,473,9,133,1098,20,5000
14,14,858,99,43,446,554,9,142,1534,29,5000
15,15,855,88,57,608,392,3,145,764,18,5000
16,16,852,71,77,455,545,3,148,1480,9,5000
17,17,850,44,106,313,687,2,150,2348,9,5000
18,18,846,30,124,299,701,4,154,2464,3,5000
19,19,845,22,133,228,772,1,155,2974,3,5000
20,20,840,18,142,217,783,5,160,3054,2,5000
21,21,835,20,145,203,797,5,165,3172,4,5000
22,22,830,22,148,200,800,5,170,3198,1,5000
23,23,825,25,150,205,795,5,175,3160,5,5000
24,24,823,23,154,449,551,2,177,1516,5,5000
25,25,819,26,155,450,550,4,181,1518,5,5000
26,26,818,22,160,454,546,1,182,1474,5,5000
27,27,816,19,165,452,548,2,184,1490,2,5000
28,28,815,15,170,208,792,1,185,3148,4,5000
29,29,814,11,175,195,805,1,186,3242,1,5000
30,30,812,11,177,203,797,2,188,3172,2,5000
31,31,811,8,181,206,794,1,189,3146,1,5000
32,32,807,11,182,206,794,4,193,3152,1,5000
33,33,805,11,184,206,794,2,195,3150,2,5000
34,34,803,12,185,205,795,2,197,3162,1,5000
35,35,802,12,186,202,798,1,198,3184,4,5000
36,36,800,12,188,186,814,2,200,3316,2,5000
37,37,798,13,189,220,780,2,202,3034,2,5000
38,38,795,12,193,207,793,3,205,3140,1,5000
39,39,791,14,195,195,805,4,209,3242,2,5000
40,40,789,14,197,209,791,2,211,3122,2,5000
41,41,786,16,198,207,793,3,214,3148,3,5000
42,42,784,16,200,217,783,2,216,3070,4,5000
43,43,780,18,202,204,796,4,220,3168,2,5000
44,44,778,17,205,207,793,2,222,3144,3,5000
45,45,776,15,209,218,782,2,224,3048,2,5000
46,46,775,14,211,210,790,1,225,3120,4,5000
47,47,774,12,214,190,810,1,226,3280,2,5000
48,48,772,12,216,212,788,2,228,3106,2,5000
49,49,767,13,220,206,794,5,233,3152,1,5000
50,50,765,13,222,208,792,2,235,3136,1,5000
51,51,760,16,224,198,802,5,240,3214,2,5000
52,52,755,20,225,209,791,5,245,3120,5,5000
53,53,751,23,226,455,545,4,249,1494,2,5000
54,54,747,25,228,215,785,4,253,3078,5,5000
55,55,745,22,233,448,552,2,255,1514,5,5000
56,56,741,24,235,459,541,4,259,1464,4,5000
57,57,738,22,240,198,802,3,262,3218,4,5000
58,58,737,18,245,202,798,1,263,3182,2,5000
59,59,735,16,249,211,789,2,265,3108,4,5000
60,60,733,14,253,200,800,2,267,3200,3,5000
61,61,729,16,255,214,786,4,271,3090,1,5000
62,62,725,16,259,204,796,4,275,3170,2,5000
63,63,722,16,262,207,793,3,278,3132,2,5000
64,64,720,17,263,213,787,2,280,3084,4,5000
65,65,715,20,265,198,802,5,285,3214,4,5000
66,66,711,22,267,196,804,4,289,3232,3,5000
67,67,706,23,271,225,775,5,294,3002,2,5000
68,68,701,24,275,218,782,5,299,3060,5,5000
69,69,699,23,278,458,542,2,301,1470,4,5000
70,70,699,21,280,197,803,0,301,3222,5,5000
71,71,698,17,285,451,549,1,302,1520,5,5000
72,72,697,14,289,449,551,1,303,1514,2,5000
73,73,693,13,294,211,789,4,307,3110,0,5000
74,74,691,10,299,3,997,2,309,4968,1,5000
75,75,689,10,301,190,810,2,311,3286,1,5000
76,76,688,11,301,209,791,1,312,3116,4,5000
77,77,685,13,302,197,803,3,315,3222,2,5000
78,78,682,15,303,210,790,3,318,3122,2,5000
79,79,681,12,307,204,796,1,319,3168,1,5000
80,80,679,12,309,214,786,2,321,3086,3,5000
81,81,679,10,311,211,789,0,321,3122,3,5000
82,82,679,9,312,214,786,0,321,3092,1,5000
83,83,679,6,315,213,787,0,321,3094,2,5000
84,84,678,4,318,203,797,1,322,3172,0,5000
85,85,677,4,319,4,996,1,323,4954,0,5000
86,86,674,5,321,4,996,3,326,4960,0,5000
87,87,672,7,321,4,996,2,328,4954,1,5000
88,88,669,10,321,200,800,3,331,3200,1,5000
89,89,667,12,321,197,803,2,333,3220,3,5000
90,90,667,11,322,214,786,0,333,3098,2,5000
91,91,667,10,323,201,799,0,333,3192,3,5000
92,92,667,7,326,213,787,0,333,3108,2,5000
93,93,667,5,328,204,796,0,333,3166,0,5000
94,94,666,3,331,4,996,1,334,4960,0,5000
95,95,663,4,333,2,998,3,337,4984,0,5000
96,96,661,6,333,1,999,2,339,4988,0,5000
97,97,658,9,333,1,999,3,342,4986,1,5000
98,98,658,9,333,203,797,0,342,3176,3,5000
99,99,658,9,333,212,788,0,342,3104,2,5000
100,100,658,8,334,203,797,0,342,3178,3,5000
101,101,658,5,337,214,786,0,342,3080,0,5000
102,102,656,5,339,4,996,2,344,4964,0,5000
103,103,655,3,342,5,995,1,345,4952,0,5000
104,104,654,4,342,2,998,1,346,4974,0,5000
105,105,653,5,342,4,996,1,347,4958,2,5000
106,106,652,6,342,204,796,1,348,3170,1,5000
107,107,651,7,342,200,800,1,349,3200,1,5000
108,108,650,6,344,200,800,1,350,3198,1,5000
109,109,646,9,345,198,802,4,354,3214,1,5000
110,110,643,11,346,197,803,3,357,3222,1,5000
111,111,641,12,347,194,806,2,359,3242,1,5000
112,112,637,15,348,197,803,4,363,3222,4,5000
113,113,632,19,349,197,803,5,368,3224,3,5000
114,114,630,20,350,222,778,2,370,3036,2,5000
115,115,626,20,354,216,784,4,374,3066,4,5000
116,116,624,19,357,203,797,2,376,3170,5,5000
117,117,623,18,359,452,548,1,377,1514,2,5000
118,118,623,14,363,207,793,0,377,3150,4,5000
119,119,623,9,368,196,804,0,377,3226,2,5000
120,120,623,7,370,204,796,0,377,3162,1,5000
121,121,623,3,374,206,794,0,377,3148,0,5000
122,122,623,1,376,5,995,0,377,4940,0,5000
123,123,623,0,377,2,998,0,377,4982,0,5000
