,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,997,3,0,5,995,1,3,4948,0,5000
2,2,995,5,0,3,997,2,5,4964,0,5000
3,3,990,10,0,3,997,5,10,4958,2,5000
4,4,986,14,0,225,775,4,14,3016,1,5000
5,5,984,16,0,197,803,2,16,3222,2,5000
6,6,979,19,2,228,772,5,21,2964,5,5000
7,7,977,20,3,450,550,2,23,1502,4,5000
8,8,970,25,5,233,767,7,30,2952,2,5000
9,9,964,26,10,234,766,6,36,2936,5,5000
10,10,957,29,14,449,551,7,43,1514,2,5000
11,11,953,31,16,241,759,4,47,2872,7,5000
12,12,946,33,21,237,763,7,54,2904,6,5000
13,13,943,34,23,288,712,3,57,2540,7,5000
14,14,937,33,30,243,757,6,63,2862,4,5000
15,15,932,32,36,245,755,5,68,2840,7,5000
16,16,929,28,43,249,751,3,71,2820,3,5000
17,17,925,28,47,265,735,4,75,2702,6,5000
18,18,919,27,54,277,723,6,81,2626,5,5000
19,19,914,29,57,446,554,5,86,1528,3,5000
20,20,906,31,63,259,741,8,94,2746,4,5000
21,21,896,36,68,227,773,10,104,2984,6,5000
22,22,886,43,71,280,720,10,114,2618,5,5000
23,23,879,46,75,460,540,7,121,1456,8,5000
24,24,872,47,81,319,681,7,128,2320,10,5000
25,25,860,54,86,164,836,12,140,3486,10,5000
26,26,842,64,94,169,831,18,158,3480,7,5000
27,27,826,70,104,255,745,16,174,2774,7,5000
28,28,807,79,114,258,742,19,193,2770,12,5000
29,29,794,85,121,460,540,13,206,1470,18,5000
30,30,784,88,128,454,546,10,216,1496,16,5000
31,31,778,82,140,548,452,6,222,1012,19,5000
32,32,771,71,158,528,472,7,229,1108,13,5000
33,33,766,60,174,570,430,5,234,944,10,5000
34,34,759,48,193,183,817,7,241,3322,6,5000
35,35,752,42,206,301,699,7,248,2422,7,5000
36,36,743,41,216,249,751,9,257,2834,5,5000
37,37,740,38,222,453,547,3,260,1492,7,5000
38,38,732,39,229,245,755,8,268,2878,7,5000
39,39,729,37,234,245,755,3,271,2832,9,5000
40,40,724,35,241,306,694,5,276,2398,3,5000
41,41,719,33,248,272,728,5,281,2634,8,5000
42,42,716,27,257,308,692,3,284,2386,3,5000
43,43,713,27,260,261,739,3,287,2720,5,5000
44,44,711,21,268,456,544,2,289,1472,5,5000
45,45,710,19,271,464,536,1,290,1434,3,5000
46,46,708,16,276,258,742,2,292,2766,3,5000
47,47,705,14,281,267,733,3,295,2672,2,5000
48,48,704,12,284,228,772,1,296,2988,1,5000
49,49,701,12,287,193,807,3,299,3250,2,5000
50,50,701,10,289,235,765,0,299,2926,3,5000
51,51,701,9,290,256,744,0,299,2756,1,5000
52,52,700,8,292,197,803,1,300,3220,3,5000
53,53,700,5,295,253,747,0,300,2798,0,5000
54,54,700,4,296,7,993,0,300,4934,0,5000
55,55,697,4,299,4,996,3,303,4964,1,5000
56,56,696,5,299,187,813,1,304,3298,0,5000
57,57,693,8,299,3,997,3,307,4968,0,5000
58,58,691,9,300,3,997,2,309,4968,3,5000
59,59,689,11,300,247,753,2,311,2856,1,5000
60,60,688,12,300,196,804,1,312,3230,3,5000
61,61,686,11,303,251,749,2,314,2798,2,5000
62,62,685,11,304,226,774,1,315,2998,2,5000
63,63,684,9,307,231,769,1,316,2956,1,5000
64,64,682,9,309,194,806,2,318,3244,2,5000
65,65,680,9,311,226,774,2,320,3008,1,5000
66,66,677,11,312,184,816,3,323,3334,1,5000
67,67,676,10,314,200,800,1,324,3200,2,5000
68,68,676,9,315,218,782,0,324,3064,2,5000
69,69,673,11,316,228,772,3,327,2982,3,5000
70,70,671,11,318,259,741,2,329,2740,1,5000
71,71,669,11,320,200,800,2,331,3198,0,5000
72,72,661,16,323,7,993,8,339,4936,3,5000
73,73,661,15,324,259,741,0,339,2730,2,5000
74,74,659,17,324,229,771,2,341,2970,2,5000
75,75,658,15,327,226,774,1,342,2988,8,5000
76,76,658,13,329,303,697,0,342,2426,0,5000
77,77,657,12,331,14,986,1,343,4858,2,5000
78,78,657,4,339,231,769,0,343,2952,1,5000
79,79,657,4,339,181,819,0,343,3346,0,5000
80,80,655,4,341,5,995,2,345,4950,1,5000
81,81,654,4,342,192,808,1,346,3274,0,5000
82,82,654,4,342,4,996,0,346,4960,0,5000
83,83,653,4,343,3,997,1,347,4964,2,5000
84,84,653,4,343,218,782,0,347,3062,1,5000
85,85,653,4,343,188,812,0,347,3288,0,5000
86,86,653,2,345,4,996,0,347,4954,1,5000
87,87,653,1,346,2,998,0,347,4982,0,5000
88,88,653,1,346,1,999,0,347,4990,0,5000
89,89,653,0,347,1,999,0,347,4990,0,5000
