,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,995,5,0,1,999,3,5,4988,0,5000
2,2,988,12,0,2,998,7,12,4978,0,5000
3,3,977,23,0,1,999,11,23,4984,2,5000
4,4,969,31,0,216,784,8,31,3070,3,5000
5,5,956,44,0,238,762,13,44,2904,7,5000
6,6,942,56,2,231,769,14,58,2960,11,5000
7,7,928,67,5,328,672,14,72,2246,8,5000
8,8,921,67,12,309,691,7,79,2374,13,5000
9,9,913,64,23,540,460,8,87,1062,14,5000
10,10,908,61,31,542,458,5,92,1046,14,5000
11,11,902,54,44,540,460,6,98,1066,7,5000
12,12,898,44,58,259,741,4,102,2724,8,5000
13,13,893,35,72,323,677,5,107,2314,5,5000
14,14,891,30,79,482,518,2,109,1332,6,5000
15,15,888,25,87,275,725,3,112,2628,4,5000
16,16,883,25,92,226,774,5,117,2990,5,5000
17,17,881,21,98,470,530,2,119,1394,2,5000
18,18,878,20,102,218,782,3,122,3042,3,5000
19,19,871,22,107,235,765,7,129,2930,5,5000
20,20,870,21,109,467,533,1,130,1434,2,5000
21,21,866,22,112,216,784,4,134,3074,3,5000
22,22,862,21,117,233,767,4,138,2944,7,5000
23,23,859,22,119,221,779,3,141,3034,1,5000
24,24,856,22,122,206,794,3,144,3146,4,5000
25,25,856,15,129,225,775,0,144,3006,4,5000
26,26,854,16,130,218,782,2,146,3060,3,5000
27,27,853,13,134,228,772,1,147,2982,3,5000
28,28,853,9,138,229,771,0,147,2954,0,5000
29,29,848,11,141,4,996,5,152,4954,2,5000
30,30,843,13,144,208,792,5,157,3138,1,5000
31,31,837,19,144,192,808,6,163,3260,0,5000
32,32,821,33,146,5,995,16,179,4948,5,5000
33,33,817,36,147,457,543,4,183,1470,5,5000
34,34,809,44,147,464,536,8,191,1442,6,5000
35,35,798,50,152,275,725,11,202,2620,16,5000
36,36,794,49,157,525,475,4,206,1122,4,5000
37,37,789,48,163,229,771,5,211,2970,8,5000
38,38,782,39,179,334,666,7,218,2206,11,5000
39,39,778,39,183,327,673,4,222,2270,4,5000
40,40,768,41,191,224,776,10,232,3024,5,5000
41,41,765,33,202,479,521,3,235,1366,7,5000
42,42,759,35,206,222,778,6,241,3028,4,5000
43,43,751,38,211,229,771,8,249,2970,10,5000
44,44,743,39,218,133,867,8,257,3770,3,5000
45,45,735,43,222,243,757,8,265,2862,6,5000
46,46,726,42,232,287,713,9,274,2530,8,5000
47,47,716,49,235,317,683,10,284,2324,8,5000
48,48,705,54,241,316,684,11,295,2352,8,5000
49,49,695,56,249,322,678,10,305,2302,9,5000
50,50,687,56,257,303,697,8,313,2440,10,5000
51,51,673,62,265,148,852,14,327,3640,11,5000
52,52,663,63,274,339,661,10,337,2172,10,5000
53,53,648,68,284,141,859,15,352,3702,8,5000
54,54,640,65,295,323,677,8,360,2302,14,5000
55,55,633,62,305,538,462,7,367,1068,10,5000
56,56,626,61,313,157,843,7,374,3552,15,5000
57,57,625,48,327,640,360,1,375,642,8,5000
58,58,621,42,337,320,680,4,379,2298,7,5000
59,59,621,27,352,234,766,0,379,2946,7,5000
60,60,621,19,360,240,760,0,379,2894,1,5000
61,61,621,12,367,209,791,0,379,3132,4,5000
62,62,621,5,374,208,792,0,379,3134,0,5000
63,63,621,4,375,6,994,0,379,4932,0,5000
64,64,619,2,379,2,998,2,381,4976,0,5000
65,65,619,2,379,2,998,0,381,4982,0,5000
66,66,618,3,379,1,999,1,382,4990,0,5000
67,67,616,5,379,3,997,2,384,4972,2,5000
68,68,615,6,379,217,783,1,385,3056,0,5000
69,69,610,11,379,4,996,5,390,4962,1,5000
70,70,608,11,381,206,794,2,392,3152,2,5000
71,71,608,11,381,212,788,0,392,3102,1,5000
72,72,606,12,382,192,808,2,394,3268,5,5000
73,73,606,10,384,463,537,0,394,1438,2,5000
74,74,604,11,385,218,782,2,396,3064,0,5000
75,75,596,14,390,5,995,8,404,4948,2,5000
76,76,593,15,392,212,788,3,407,3104,0,5000
77,77,579,29,392,2,998,14,421,4974,2,5000
78,78,573,33,394,224,776,6,427,3002,8,5000
79,79,572,34,394,291,709,1,428,2494,3,5000
80,80,568,36,396,239,761,4,432,2882,14,5000
81,81,567,29,404,534,466,1,433,1094,6,5000
82,82,566,27,407,271,729,1,434,2644,1,5000
83,83,566,13,421,213,787,0,434,3092,4,5000
84,84,565,8,427,209,791,1,435,3136,1,5000
85,85,564,8,428,199,801,1,436,3208,1,5000
86,86,564,4,432,201,799,0,436,3192,0,5000
87,87,562,5,433,3,997,2,438,4966,1,5000
88,88,561,5,434,193,807,1,439,3266,1,5000
89,89,561,5,434,193,807,0,439,3256,0,5000
90,90,553,12,435,4,996,8,447,4952,2,5000
91,91,552,12,436,208,792,1,448,3130,1,5000
92,92,550,14,436,191,809,2,450,3272,0,5000
93,93,543,19,438,4,996,7,457,4960,8,5000
94,94,539,22,439,305,695,4,461,2420,1,5000
95,95,537,24,439,186,814,2,463,3292,2,5000
96,96,536,17,447,215,785,1,464,3074,7,5000
97,97,532,20,448,226,774,4,468,2988,4,5000
98,98,531,19,450,204,796,1,469,3168,2,5000
99,99,529,14,457,217,783,2,471,3064,1,5000
100,100,528,11,461,198,802,1,472,3216,4,5000
101,101,528,9,463,213,787,0,472,3110,1,5000
102,102,528,8,464,199,801,0,472,3208,2,5000
103,103,528,4,468,214,786,0,472,3088,1,5000
104,104,528,3,469,195,805,0,472,3234,0,5000
105,105,526,3,471,3,997,2,474,4966,0,5000
106,106,525,3,472,1,999,1,475,4986,0,5000
107,107,524,4,472,0,1000,1,476,4998,0,5000
108,108,523,5,472,2,998,1,477,4974,2,5000
109,109,522,6,472,211,789,1,478,3110,1,5000
110,110,522,6,472,189,811,0,478,3278,1,5000
111,111,522,4,474,193,807,0,478,3260,1,5000
112,112,522,3,475,201,799,0,478,3190,1,5000
113,113,522,2,476,197,803,0,478,3224,0,5000
114,114,522,1,477,3,997,0,478,4966,0,5000
115,115,522,0,478,1,999,0,478,4990,0,5000
