,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,995,5,0,4,996,3,5,4964,0,5000
2,2,993,7,0,3,997,2,7,4974,0,5000
3,3,988,12,0,5,995,5,12,4954,2,5000
4,4,987,13,0,217,783,1,13,3064,3,5000
5,5,983,17,0,228,772,4,17,2986,2,5000
6,6,980,18,2,222,778,3,20,3046,5,5000
7,7,977,18,5,429,571,3,23,1626,1,5000
8,8,974,19,7,212,788,3,26,3102,4,5000
9,9,972,16,12,196,804,2,28,3230,3,5000
10,10,966,21,13,243,757,6,34,2856,3,5000
11,11,961,22,17,244,756,5,39,2838,3,5000
12,12,946,34,20,237,763,15,54,2900,2,5000
13,13,933,44,23,225,775,13,67,3000,6,5000
14,14,909,65,26,251,749,24,91,2818,5,5000
15,15,897,75,28,447,553,12,103,1528,15,5000
16,16,893,73,34,643,357,4,107,644,13,5000
17,17,887,74,39,564,436,6,113,950,24,5000
18,18,887,59,54,787,213,0,113,230,12,5000
19,19,885,48,67,435,565,2,115,1598,4,5000
20,20,883,26,91,233,767,2,117,2954,6,5000
21,21,883,14,103,260,740,0,117,2744,0,5000
22,22,874,19,107,10,990,9,126,4910,2,5000
23,23,868,19,113,219,781,6,132,3052,2,5000
24,24,859,28,113,209,791,9,141,3126,0,5000
25,25,838,47,115,6,994,21,162,4948,9,5000
26,26,829,54,117,283,717,9,171,2578,6,5000
27,27,814,69,117,271,729,15,186,2654,9,5000
28,28,799,75,126,302,698,15,201,2442,21,5000
29,29,794,74,132,585,415,5,206,864,9,5000
30,30,788,71,141,302,698,6,212,2468,15,5000
31,31,786,52,162,647,353,2,214,624,15,5000
32,32,786,43,171,646,354,0,214,618,5,5000
33,33,786,28,186,454,546,0,214,1482,6,5000
34,34,786,13,201,278,722,0,214,2604,2,5000
35,35,786,8,206,234,766,0,214,2932,0,5000
36,36,784,4,212,6,994,2,216,4946,0,5000
37,37,783,3,214,4,996,1,217,4958,0,5000
38,38,783,3,214,3,997,0,217,4966,0,5000
