,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate,,,,,
0,0,998,2,0,0,1000,2,2,0,0,5000,,,,0,998
1,1,996,4,0,2,998,2,4,4984,0,5000,,,,0,998
2,2,991,9,0,2,998,5,9,4980,0,5000,,,,0,998
3,3,983,17,0,2,998,8,17,4972,2,5000,,,,2,883
4,4,974,26,0,117,883,9,26,3900,2,5000,,,,2,885
5,5,956,44,0,115,885,18,44,3908,5,5000,,,,5,843
6,6,937,61,2,157,843,19,63,3560,8,5000,,,,8,751
7,7,917,79,4,249,751,20,83,2816,9,5000,,,,9,743
8,8,890,101,9,257,743,27,110,2794,18,5000,,,,18,722
9,9,863,120,17,278,722,27,137,2592,19,5000,,,,19,549
10,10,849,125,26,451,549,14,151,1482,20,5000,,,,20,776
11,11,826,130,44,224,776,23,174,3018,27,5000,,,,27,696
12,12,801,136,63,304,696,25,199,2438,27,5000,,,,27,690
13,13,769,148,83,310,690,32,231,2388,14,5000,,,,14,644
14,14,735,155,110,356,644,34,265,2080,23,5000,,,,23,685
15,15,704,159,137,315,685,31,296,2346,25,5000,,,,25,685
16,16,672,177,151,315,685,32,328,2346,32,5000,,,,32,613
17,17,647,179,174,387,613,25,353,1872,34,5000,,,,34,644
18,18,628,173,199,356,644,19,372,2072,31,5000,,,,31,606
19,19,616,153,231,394,606,12,384,1836,32,5000,,,,32,591
20,20,602,133,265,409,591,14,398,1740,25,5000,,,,25,669
21,21,592,112,296,331,669,10,408,2234,19,5000,,,,19,516
22,22,590,82,328,484,516,2,410,1334,12,5000,,,,12,662
23,23,586,61,353,338,662,4,414,2198,14,5000,,,,14,673
24,24,583,45,372,327,673,3,417,2262,10,5000,,,,10,890
25,25,578,38,384,110,890,5,422,3962,2,5000,,,,2,871
26,26,575,27,398,129,871,3,425,3804,4,5000,,,,4,854
27,27,573,19,408,146,854,2,427,3692,3,5000,,,,3,897
28,28,569,21,410,103,897,4,431,4028,5,5000,,,,5,839
29,29,569,17,414,161,839,0,431,3524,3,5000,,,,3,897
30,30,567,16,417,103,897,2,433,4018,2,5000,,,,2,887
31,31,566,12,422,113,887,1,434,3904,4,5000,,,,4,859
32,32,565,10,425,141,859,1,435,3676,0,5000,,,,0,993
33,33,564,9,427,7,993,1,436,4932,2,5000,,,,2,883
34,34,564,5,431,117,883,0,436,3918,1,5000,,,,1,933
35,35,564,5,431,67,933,0,436,4350,1,5000,,,,1,932
36,36,564,3,433,68,932,0,436,4344,1,5000,,,,1,931
37,37,564,2,434,69,931,0,436,4338,0,5000,,,,0,998
38,38,564,1,435,2,998,0,436,4982,0,5000,,,,0,999
39,39,564,0,436,1,999,0,436,4990,0,5000,,,,,
