,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,994,6,0,0,1000,4,6,4998,0,5000
2,2,990,10,0,0,1000,4,10,5000,0,5000
3,3,979,21,0,2,998,11,21,4982,2,5000
4,4,963,37,0,6,994,16,37,4940,4,5000
5,5,934,66,0,10,990,29,66,4886,4,5000
6,6,897,101,2,21,979,37,103,4776,11,5000
7,7,840,154,6,35,965,57,160,4652,16,5000
8,8,778,212,10,60,940,62,222,4406,29,5000
9,9,706,273,21,93,907,72,294,4100,37,5000
10,10,619,344,37,139,861,87,381,3710,57,5000
11,11,537,397,66,185,815,82,463,3332,62,5000
12,12,448,449,103,228,772,89,552,2990,72,5000
13,13,374,466,160,277,723,74,626,2600,87,5000
14,14,322,456,222,303,697,52,678,2410,82,5000
15,15,279,427,294,330,670,43,721,2240,89,5000
16,16,257,362,381,332,668,22,743,2232,74,5000
17,17,239,298,463,297,703,18,761,2464,52,5000
18,18,232,216,552,258,742,7,768,2752,43,5000
19,19,226,148,626,191,809,6,774,3272,22,5000
20,20,222,100,678,135,865,4,778,3716,18,5000
21,21,221,58,721,90,910,1,779,4124,7,5000
22,22,221,36,743,53,947,0,779,4484,6,5000
23,23,220,19,761,35,965,1,780,4666,4,5000
24,24,219,13,768,18,982,1,781,4808,1,5000
25,25,217,9,774,11,989,2,783,4894,0,5000
26,26,217,5,778,6,994,0,783,4946,1,5000
27,27,217,4,779,3,997,0,783,4968,1,5000
28,28,217,4,779,3,997,0,783,4968,2,5000
29,29,217,3,780,4,996,0,783,4962,0,5000
30,30,217,2,781,3,997,0,783,4964,0,5000
31,31,217,0,783,1,999,0,783,4994,0,5000
