,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,998,2,0,0,1000,0,2,4998,0,5000
2,2,994,6,0,0,1000,4,6,4998,0,5000
3,3,991,9,0,2,998,3,9,4978,2,5000
4,4,986,14,0,2,998,5,14,4976,0,5000
5,5,978,22,0,6,994,8,22,4930,4,5000
6,6,966,32,2,9,991,12,34,4922,3,5000
7,7,953,45,2,12,988,13,47,4880,5,5000
8,8,928,66,6,20,980,25,72,4798,8,5000
9,9,894,97,9,28,972,34,106,4714,12,5000
10,10,855,131,14,38,962,39,145,4640,13,5000
11,11,796,182,22,58,942,59,204,4442,25,5000
12,12,713,253,34,84,916,83,287,4202,34,5000
13,13,611,342,47,111,889,102,389,3938,39,5000
14,14,513,415,72,157,843,98,487,3548,59,5000
15,15,425,469,106,215,785,88,575,3082,83,5000
16,16,355,500,145,283,717,70,645,2578,102,5000
17,17,306,490,204,342,658,49,694,2168,98,5000
18,18,274,439,287,371,629,32,726,1980,88,5000
19,19,261,350,389,358,642,13,739,2056,70,5000
20,20,250,263,487,305,695,11,750,2422,49,5000
21,21,244,181,575,239,761,6,756,2900,32,5000
22,22,238,117,645,164,836,6,762,3500,13,5000
23,23,235,71,694,105,895,3,765,4028,11,5000
24,24,233,41,726,62,938,2,767,4404,6,5000
25,25,232,29,739,35,965,1,768,4662,6,5000
26,26,231,19,750,26,974,1,769,4752,3,5000
27,27,231,13,756,17,983,0,769,4812,2,5000
28,28,230,8,762,11,989,1,770,4898,1,5000
29,29,230,5,765,7,993,0,770,4944,1,5000
30,30,230,3,767,4,996,0,770,4964,0,5000
31,31,230,2,768,3,997,0,770,4970,1,5000
32,32,230,1,769,2,998,0,770,4976,0,5000
33,33,230,1,769,1,999,0,770,4988,0,5000
34,34,230,0,770,1,999,0,770,4990,0,5000
