,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,0,1000,2,4,4996,0,5000
2,2,988,12,0,0,1000,8,12,5000,0,5000
3,3,983,17,0,2,998,5,17,4984,2,5000
4,4,974,26,0,4,996,9,26,4954,2,5000
5,5,960,40,0,12,988,14,40,4882,8,5000
6,6,945,53,2,17,983,15,55,4840,5,5000
7,7,917,79,4,24,976,28,83,4752,9,5000
8,8,881,107,12,36,964,36,119,4636,14,5000
9,9,831,152,17,43,957,50,169,4584,15,5000
10,10,766,208,26,66,934,65,234,4358,28,5000
11,11,691,269,40,93,907,75,309,4116,36,5000
12,12,602,343,55,129,871,89,398,3792,50,5000
13,13,507,410,83,179,821,95,493,3372,65,5000
14,14,426,455,119,226,774,81,574,3014,75,5000
15,15,359,472,169,279,721,67,641,2608,89,5000
16,16,306,460,234,324,676,53,694,2280,95,5000
17,17,272,419,309,340,660,34,728,2182,81,5000
18,18,248,354,398,332,668,24,752,2228,67,5000
19,19,233,274,493,296,704,15,767,2494,53,5000
20,20,228,198,574,235,765,5,772,2926,34,5000
21,21,224,135,641,178,822,4,776,3374,24,5000
22,22,220,86,694,126,874,4,780,3806,15,5000
23,23,219,53,728,78,922,1,781,4286,5,5000
24,24,219,29,752,48,952,0,781,4564,4,5000
25,25,219,14,767,28,972,0,781,4726,4,5000
26,26,219,9,772,14,986,0,781,4848,1,5000
27,27,219,5,776,9,991,0,781,4914,0,5000
28,28,219,1,780,5,995,0,781,4928,0,5000
29,29,219,0,781,1,999,0,781,4988,0,5000
