,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,0,1000,2,4,4996,0,5000
2,2,993,7,0,0,1000,3,7,4998,0,5000
3,3,989,11,0,2,998,4,11,4976,2,5000
4,4,981,19,0,4,996,8,19,4948,2,5000
5,5,970,30,0,7,993,11,30,4938,3,5000
6,6,951,47,2,11,989,19,49,4872,4,5000
7,7,932,64,4,17,983,19,68,4838,8,5000
8,8,899,94,7,25,975,33,101,4750,11,5000
9,9,857,132,11,42,958,42,143,4572,19,5000
10,10,798,183,19,57,943,59,202,4432,19,5000
11,11,739,231,30,81,919,59,261,4216,33,5000
12,12,655,296,49,113,887,84,345,3916,42,5000
13,13,569,363,68,153,847,86,431,3580,59,5000
14,14,482,417,101,193,807,87,518,3256,59,5000
15,15,406,451,143,244,756,76,594,2850,84,5000
16,16,348,450,202,288,712,58,652,2536,86,5000
17,17,305,434,261,316,684,43,695,2322,87,5000
18,18,277,378,345,333,667,28,723,2210,76,5000
19,19,258,311,431,307,693,19,742,2386,58,5000
20,20,248,234,518,262,738,10,752,2724,43,5000
21,21,237,169,594,204,796,11,763,3170,28,5000
22,22,233,115,652,148,852,4,767,3636,19,5000
23,23,230,75,695,99,901,3,770,4040,10,5000
24,24,228,49,723,68,932,2,772,4324,11,5000
25,25,227,31,742,44,956,1,773,4580,4,5000
26,26,227,21,752,28,972,0,773,4712,3,5000
27,27,227,10,763,20,980,0,773,4790,2,5000
28,28,227,6,767,10,990,0,773,4898,1,5000
29,29,227,3,770,6,994,0,773,4938,0,5000
30,30,227,1,772,3,997,0,773,4968,0,5000
31,31,227,0,773,1,999,0,773,4982,0,5000
