,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,995,5,0,0,1000,3,5,5000,0,5000
2,2,989,11,0,0,1000,6,11,4998,0,5000
3,3,982,18,0,2,998,7,18,4978,2,5000
4,4,975,25,0,5,995,7,25,4954,3,5000
5,5,959,41,0,11,989,16,41,4912,6,5000
6,6,934,64,2,18,982,25,66,4818,7,5000
7,7,894,101,5,23,977,40,106,4770,7,5000
8,8,834,155,11,36,964,60,166,4642,16,5000
9,9,763,219,18,55,945,71,237,4464,25,5000
10,10,659,316,25,88,912,104,341,4192,40,5000
11,11,560,399,41,140,860,99,440,3698,60,5000
12,12,468,466,66,196,804,92,532,3238,71,5000
13,13,389,505,106,275,725,79,611,2628,104,5000
14,14,344,490,166,333,667,45,656,2218,99,5000
15,15,305,458,237,366,634,39,695,2014,92,5000
16,16,286,373,341,374,626,19,714,1962,79,5000
17,17,271,289,440,315,685,15,729,2356,45,5000
18,18,257,211,532,255,745,14,743,2776,39,5000
19,19,251,138,611,182,818,6,749,3346,19,5000
20,20,245,99,656,118,882,6,755,3910,15,5000
21,21,242,63,695,87,913,3,758,4154,14,5000
22,22,240,46,714,54,946,2,760,4474,6,5000
23,23,239,32,729,41,959,1,761,4606,6,5000
24,24,238,19,743,29,971,1,762,4724,3,5000
25,25,238,13,749,17,983,0,762,4820,2,5000
26,26,238,7,755,12,988,0,762,4882,1,5000
27,27,238,4,758,7,993,0,762,4930,1,5000
28,28,238,2,760,4,996,0,762,4966,0,5000
29,29,238,1,761,2,998,0,762,4986,0,5000
30,30,238,0,762,1,999,0,762,4992,0,5000
