,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,0,1000,2,4,5000,0,5000
2,2,991,9,0,0,1000,5,9,5000,0,5000
3,3,980,20,0,2,998,11,20,4982,2,5000
4,4,970,30,0,4,996,10,30,4964,2,5000
5,5,953,47,0,9,991,17,47,4920,5,5000
6,6,927,71,2,20,980,26,73,4800,11,5000
7,7,878,118,4,28,972,49,122,4722,10,5000
8,8,822,169,9,43,957,56,178,4580,17,5000
9,9,739,241,20,64,936,83,261,4368,26,5000
10,10,654,316,30,102,898,85,346,4038,49,5000
11,11,540,413,47,147,853,114,460,3626,56,5000
12,12,429,498,73,214,786,111,571,3088,83,5000
13,13,346,532,122,273,727,83,654,2646,85,5000
14,14,279,543,178,335,665,67,721,2220,114,5000
15,15,239,500,261,392,608,40,761,1838,111,5000
16,16,216,438,346,393,607,23,784,1840,83,5000
17,17,199,341,460,375,625,17,801,1952,67,5000
18,18,192,237,571,301,699,7,808,2444,40,5000
19,19,190,156,654,212,788,2,810,3104,23,5000
20,20,188,91,721,147,853,2,812,3634,17,5000
21,21,188,51,761,87,913,0,812,4134,7,5000
22,22,188,28,784,48,952,0,812,4526,2,5000
23,23,188,11,801,28,972,0,812,4736,2,5000
24,24,188,4,808,11,989,0,812,4878,0,5000
25,25,188,2,810,4,996,0,812,4954,0,5000
26,26,188,0,812,2,998,0,812,4980,0,5000
