,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,997,3,0,0,1000,1,3,4998,0,5000
2,2,994,6,0,0,1000,3,6,5000,0,5000
3,3,987,13,0,2,998,7,13,4974,2,5000
4,4,980,20,0,3,997,7,20,4968,1,5000
5,5,966,34,0,6,994,14,34,4928,3,5000
6,6,942,56,2,13,987,24,58,4872,7,5000
7,7,904,93,3,18,982,38,96,4824,7,5000
8,8,858,136,6,31,969,46,142,4718,14,5000
9,9,787,200,13,51,949,71,213,4504,24,5000
10,10,711,269,20,83,917,76,289,4194,38,5000
11,11,618,348,34,122,878,93,382,3864,46,5000
12,12,531,411,58,178,822,87,469,3376,71,5000
13,13,441,463,96,231,769,90,559,2954,76,5000
14,14,370,488,142,286,714,71,630,2514,93,5000
15,15,314,473,213,326,674,56,686,2270,87,5000
16,16,277,434,289,346,654,37,723,2148,90,5000
17,17,260,358,382,341,659,17,740,2180,71,5000
18,18,250,281,469,303,697,10,750,2448,56,5000
19,19,238,203,559,253,747,12,762,2794,37,5000
20,20,234,136,630,181,819,4,766,3350,17,5000
21,21,231,83,686,120,880,3,769,3878,10,5000
22,22,228,49,723,75,925,3,772,4268,12,5000
23,23,226,34,740,43,957,2,774,4572,4,5000
24,24,225,25,750,29,971,1,775,4708,3,5000
25,25,224,14,762,22,978,1,776,4788,3,5000
26,26,224,10,766,12,988,0,776,4872,2,5000
27,27,223,8,769,9,991,1,777,4916,1,5000
28,28,223,5,772,7,993,0,777,4918,1,5000
29,29,223,3,774,4,996,0,777,4954,0,5000
30,30,223,2,775,3,997,0,777,4970,1,5000
31,31,223,1,776,2,998,0,777,4980,0,5000
32,32,223,1,776,1,999,0,777,4990,0,5000
33,33,223,0,777,1,999,0,777,4992,0,5000
