,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,994,6,0,0,1000,4,6,4998,0,5000
2,2,989,11,0,0,1000,5,11,5000,0,5000
3,3,978,22,0,2,998,11,22,4982,2,5000
4,4,962,38,0,6,994,16,38,4936,4,5000
5,5,937,63,0,11,989,25,63,4878,5,5000
6,6,896,102,2,22,978,41,104,4778,11,5000
7,7,835,159,6,36,964,61,165,4646,16,5000
8,8,758,231,11,57,943,77,242,4446,25,5000
9,9,663,315,22,93,907,95,337,4096,41,5000
10,10,570,392,38,143,857,93,430,3650,61,5000
11,11,471,466,63,204,796,99,529,3162,77,5000
12,12,383,513,104,273,727,88,617,2654,95,5000
13,13,314,521,165,326,674,69,686,2278,93,5000
14,14,262,496,242,364,636,52,738,2010,99,5000
15,15,235,428,337,374,626,27,765,1952,88,5000
16,16,227,343,430,349,651,8,773,2128,69,5000
17,17,219,252,529,308,692,8,781,2400,52,5000
18,18,217,166,617,236,764,2,783,2924,27,5000
19,19,213,101,686,156,844,4,787,3548,8,5000
20,20,212,50,738,95,905,1,788,4078,8,5000
21,21,211,24,765,45,955,1,789,4550,2,5000
22,22,210,17,773,22,978,1,790,4796,4,5000
23,23,209,10,781,15,985,1,791,4860,1,5000
24,24,208,9,783,8,992,1,792,4918,1,5000
25,25,208,5,787,8,992,0,792,4926,1,5000
26,26,207,5,788,4,996,1,793,4968,1,5000
27,27,207,4,789,4,996,0,793,4950,1,5000
28,28,207,3,790,3,997,0,793,4968,0,5000
29,29,207,2,791,3,997,0,793,4968,1,5000
30,30,207,1,792,2,998,0,793,4984,0,5000
31,31,207,1,792,1,999,0,793,4986,0,5000
32,32,207,0,793,1,999,0,793,4988,0,5000
