,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,0,1000,2,4,4998,0,5000
2,2,989,11,0,0,1000,7,11,4998,0,5000
3,3,983,17,0,2,998,6,17,4978,2,5000
4,4,973,27,0,4,996,10,27,4960,2,5000
5,5,959,41,0,11,989,14,41,4882,7,5000
6,6,943,55,2,17,983,16,57,4840,6,5000
7,7,912,84,4,25,975,31,88,4752,10,5000
8,8,880,109,11,37,963,32,120,4632,14,5000
9,9,826,157,17,46,954,54,174,4556,16,5000
10,10,759,214,27,71,929,67,241,4334,31,5000
11,11,681,278,41,93,907,78,319,4098,32,5000
12,12,587,356,57,133,867,94,413,3750,54,5000
13,13,513,399,88,184,816,74,487,3342,67,5000
14,14,432,448,120,231,769,81,568,2962,78,5000
15,15,371,455,174,293,707,61,629,2500,94,5000
16,16,321,438,241,313,687,50,679,2358,74,5000
17,17,284,397,319,327,673,37,716,2264,81,5000
18,18,261,326,413,310,690,23,739,2396,61,5000
19,19,247,266,487,266,734,14,753,2710,50,5000
20,20,242,190,568,229,771,5,758,2964,37,5000
21,21,240,131,629,171,829,2,760,3424,23,5000
22,22,239,82,679,124,876,1,761,3854,14,5000
23,23,239,45,716,79,921,0,761,4256,5,5000
24,24,239,22,739,44,956,0,761,4590,2,5000
25,25,239,8,753,22,978,0,761,4772,1,5000
26,26,239,3,758,8,992,0,761,4924,0,5000
27,27,239,1,760,3,997,0,761,4970,0,5000
28,28,239,0,761,1,999,0,761,4986,0,5000
