,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,994,6,0,0,1000,4,6,4998,0,5000
2,2,991,9,0,0,1000,3,9,5000,0,5000
3,3,985,15,0,0,1000,6,15,5000,2,5000
4,4,960,40,0,0,1000,25,40,4998,4,5000
5,5,922,78,0,0,1000,38,78,4998,3,5000
6,6,852,146,2,0,1000,70,148,4998,6,5000
7,7,760,234,6,0,1000,92,240,4996,25,5000
8,8,602,389,9,0,1000,158,398,4998,38,5000
9,9,404,581,15,0,1000,198,596,5000,70,5000
10,10,221,739,40,0,1000,183,779,4998,92,5000
11,11,108,814,78,0,1000,113,892,4998,158,5000
12,12,47,805,148,0,1000,61,953,5000,198,5000
13,13,19,741,240,0,1000,28,981,5000,183,5000
14,14,7,595,398,0,1000,12,993,5000,113,5000
15,15,4,400,596,0,1000,3,996,5000,61,5000
16,16,3,218,779,0,1000,1,997,5000,28,5000
17,17,3,105,892,0,1000,0,997,4998,12,5000
18,18,3,44,953,0,1000,0,997,5000,3,5000
19,19,3,16,981,0,1000,0,997,4998,1,5000
20,20,3,4,993,0,1000,0,997,4998,0,5000
21,21,3,1,996,0,1000,0,997,5000,0,5000
22,22,3,0,997,0,1000,0,997,4996,0,5000
