,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,995,5,0,0,1000,3,5,4996,0,5000
2,2,988,12,0,0,1000,7,12,4998,0,5000
3,3,981,19,0,0,1000,7,19,5000,2,5000
4,4,956,44,0,1,999,25,44,4982,3,5000
5,5,917,83,0,0,1000,39,83,5000,7,5000
6,6,834,164,2,0,1000,83,166,5000,7,5000
7,7,706,289,5,0,1000,128,294,5000,25,5000
8,8,540,448,12,0,1000,166,460,5000,39,5000
9,9,338,643,19,1,999,202,662,4990,83,5000
10,10,163,793,44,0,1000,175,837,4998,128,5000
11,11,61,856,83,0,1000,102,939,5000,166,5000
12,12,21,813,166,1,999,40,979,4990,202,5000
13,13,7,699,294,0,1000,14,993,4998,175,5000
14,14,4,536,460,0,1000,3,996,5000,102,5000
15,15,3,335,662,0,1000,1,997,4998,40,5000
16,16,2,161,837,1,999,1,998,4986,14,5000
17,17,2,59,939,0,1000,0,998,5000,3,5000
18,18,2,19,979,0,1000,0,998,5000,1,5000
19,19,2,5,993,0,1000,0,998,5000,1,5000
20,20,2,2,996,0,1000,0,998,5000,0,5000
21,21,2,1,997,0,1000,0,998,5000,0,5000
22,22,2,0,998,0,1000,0,998,5000,0,5000
