,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,0,1000,2,4,5000,0,5000
2,2,992,8,0,0,1000,4,8,4998,0,5000
3,3,985,15,0,0,1000,7,15,5000,2,5000
4,4,976,24,0,0,1000,9,24,5000,2,5000
5,5,942,58,0,0,1000,34,58,5000,4,5000
6,6,877,121,2,0,1000,65,123,5000,7,5000
7,7,784,212,4,0,1000,93,216,5000,9,5000
8,8,620,372,8,0,1000,164,380,5000,34,5000
9,9,430,555,15,0,1000,190,570,4998,65,5000
10,10,244,732,24,0,1000,186,756,5000,93,5000
11,11,113,829,58,0,1000,131,887,4996,164,5000
12,12,44,833,123,0,1000,69,956,4998,190,5000
13,13,20,764,216,0,1000,24,980,4996,186,5000
14,14,9,611,380,0,1000,11,991,5000,131,5000
15,15,5,425,570,0,1000,4,995,4998,69,5000
16,16,4,240,756,0,1000,1,996,5000,24,5000
17,17,4,109,887,0,1000,0,996,4996,11,5000
18,18,3,41,956,0,1000,1,997,5000,4,5000
19,19,3,17,980,0,1000,0,997,5000,1,5000
20,20,3,6,991,0,1000,0,997,4996,0,5000
21,21,3,2,995,0,1000,0,997,4998,1,5000
22,22,3,1,996,0,1000,0,997,4998,0,5000
23,23,3,1,996,0,1000,0,997,4998,0,5000
24,24,3,0,997,0,1000,0,997,4998,0,5000
