,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,1,999,2,4,4990,0,5000
2,2,993,7,0,1,999,3,7,4986,0,5000
3,3,988,12,0,1,999,5,12,4990,2,5000
4,4,979,21,0,1,999,9,21,4992,2,5000
5,5,957,43,0,1,999,22,43,4986,3,5000
6,6,925,73,2,1,999,32,75,4988,5,5000
7,7,863,133,4,1,999,62,137,4990,9,5000
8,8,762,231,7,1,999,101,238,4984,22,5000
9,9,598,390,12,1,999,164,402,4992,32,5000
10,10,414,565,21,1,999,184,586,4988,62,5000
11,11,241,716,43,1,999,173,759,4992,101,5000
12,12,121,804,75,1,999,120,879,4990,164,5000
13,13,52,811,137,1,999,69,948,4988,184,5000
14,14,20,742,238,1,999,32,980,4986,173,5000
15,15,13,585,402,1,999,7,987,4990,120,5000
16,16,6,408,586,1,999,7,994,4986,69,5000
17,17,4,237,759,1,999,2,996,4988,32,5000
18,18,4,117,879,1,999,0,996,4986,7,5000
19,19,2,50,948,1,999,2,998,4986,7,5000
20,20,2,18,980,1,999,0,998,4990,2,5000
21,21,2,11,987,1,999,0,998,4990,0,5000
22,22,2,4,994,1,999,0,998,4988,2,5000
23,23,2,2,996,1,999,0,998,4986,0,5000
24,24,2,2,996,1,999,0,998,4990,0,5000
25,25,2,0,998,1,999,0,998,4988,0,5000
