,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,998,2,0,1,999,0,2,4990,0,5000
2,2,994,6,0,1,999,4,6,4992,0,5000
3,3,987,13,0,1,999,7,13,4988,2,5000
4,4,974,26,0,1,999,13,26,4986,0,5000
5,5,958,42,0,1,999,16,42,4990,4,5000
6,6,914,84,2,1,999,44,86,4986,7,5000
7,7,852,146,2,1,999,62,148,4990,13,5000
8,8,729,265,6,1,999,123,271,4990,16,5000
9,9,553,434,13,1,999,176,447,4984,44,5000
10,10,375,599,26,1,999,178,625,4988,62,5000
11,11,210,748,42,1,999,165,790,4988,123,5000
12,12,113,801,86,1,999,97,887,4986,176,5000
13,13,40,812,148,1,999,73,960,4990,178,5000
14,14,23,706,271,1,999,17,977,4990,165,5000
15,15,11,542,447,1,999,12,989,4984,97,5000
16,16,8,367,625,1,999,3,992,4988,73,5000
17,17,7,203,790,1,999,1,993,4990,17,5000
18,18,7,106,887,1,999,0,993,4988,12,5000
19,19,7,33,960,1,999,0,993,4990,3,5000
20,20,7,16,977,2,998,0,993,4978,1,5000
21,21,7,4,989,1,999,0,993,4986,0,5000
22,22,7,1,992,1,999,0,993,4990,0,5000
23,23,7,0,993,1,999,0,993,4990,0,5000
