,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,1,999,2,4,4986,0,5000
2,2,993,7,0,1,999,3,7,4986,0,5000
3,3,985,15,0,1,999,8,15,4988,2,5000
4,4,967,33,0,1,999,18,33,4990,2,5000
5,5,940,60,0,1,999,27,60,4990,3,5000
6,6,877,121,2,1,999,63,123,4990,8,5000
7,7,786,210,4,1,999,91,214,4990,18,5000
8,8,630,363,7,1,999,156,370,4986,27,5000
9,9,454,531,15,1,999,176,546,4990,63,5000
10,10,265,702,33,2,998,189,735,4972,91,5000
11,11,125,815,60,1,999,140,875,4988,156,5000
12,12,53,824,123,2,998,72,947,4980,176,5000
13,13,26,760,214,1,999,27,974,4992,189,5000
14,14,13,617,370,1,999,13,987,4988,140,5000
15,15,8,446,546,1,999,5,992,4990,72,5000
16,16,3,262,735,1,999,5,997,4992,27,5000
17,17,2,123,875,1,999,1,998,4988,13,5000
18,18,2,51,947,1,999,0,998,4990,5,5000
19,19,2,24,974,1,999,0,998,4988,5,5000
20,20,1,12,987,2,998,1,999,4972,1,5000
21,21,1,7,992,1,999,0,999,4990,0,5000
22,22,1,2,997,2,998,0,999,4980,0,5000
23,23,1,1,998,2,998,0,999,4976,1,5000
24,24,1,1,998,2,998,0,999,4980,0,5000
25,25,1,1,998,2,998,0,999,4976,0,5000
26,26,1,0,999,0,1000,0,999,4996,0,5000
