,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,993,7,0,0,1000,5,7,5000,0,5000
2,2,987,13,0,0,1000,6,13,4998,0,5000
3,3,975,25,0,0,1000,12,25,5000,2,5000
4,4,953,47,0,0,1000,22,47,4998,5,5000
5,5,908,92,0,0,1000,45,92,5000,6,5000
6,6,832,166,2,0,1000,76,168,5000,12,5000
7,7,700,293,7,0,1000,132,300,4998,22,5000
8,8,538,449,13,0,1000,162,462,5000,45,5000
9,9,360,615,25,0,1000,178,640,5000,76,5000
10,10,196,757,47,0,1000,164,804,4998,132,5000
11,11,83,825,92,0,1000,113,917,4998,162,5000
12,12,30,802,168,0,1000,53,970,5000,178,5000
13,13,12,688,300,0,1000,18,988,4998,164,5000
14,14,7,531,462,0,1000,5,993,4998,113,5000
15,15,5,355,640,0,1000,2,995,5000,53,5000
16,16,3,193,804,0,1000,2,997,5000,18,5000
17,17,2,81,917,0,1000,1,998,4998,5,5000
18,18,2,28,970,0,1000,0,998,5000,2,5000
19,19,2,10,988,0,1000,0,998,4998,2,5000
20,20,2,5,993,0,1000,0,998,5000,1,5000
21,21,2,3,995,0,1000,0,998,5000,0,5000
22,22,2,1,997,0,1000,0,998,5000,0,5000
23,23,2,0,998,0,1000,0,998,4998,0,5000
