,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,998,2,0,0,1000,0,2,4998,0,5000
2,2,994,6,0,0,1000,4,6,5000,0,5000
3,3,986,14,0,0,1000,8,14,5000,2,5000
4,4,973,27,0,0,1000,13,27,5000,0,5000
5,5,948,52,0,0,1000,25,52,5000,4,5000
6,6,911,87,2,0,1000,37,89,4998,8,5000
7,7,838,160,2,0,1000,73,162,5000,13,5000
8,8,719,275,6,0,1000,119,281,5000,25,5000
9,9,543,443,14,0,1000,176,457,4998,37,5000
10,10,348,625,27,0,1000,195,652,5000,73,5000
11,11,191,757,52,0,1000,157,809,4998,119,5000
12,12,90,821,89,0,1000,101,910,4998,176,5000
13,13,48,790,162,0,1000,42,952,4998,195,5000
14,14,17,702,281,0,1000,31,983,4998,157,5000
15,15,8,535,457,0,1000,9,992,4998,101,5000
16,16,6,342,652,0,1000,2,994,5000,42,5000
17,17,2,189,809,0,1000,4,998,4998,31,5000
18,18,2,88,910,0,1000,0,998,4998,9,5000
19,19,1,47,952,0,1000,1,999,5000,2,5000
20,20,1,16,983,0,1000,0,999,4998,4,5000
21,21,1,7,992,0,1000,0,999,4998,0,5000
22,22,1,5,994,0,1000,0,999,5000,1,5000
23,23,1,1,998,0,1000,0,999,4998,0,5000
24,24,1,1,998,0,1000,0,999,5000,0,5000
25,25,1,0,999,0,1000,0,999,5000,0,5000
