,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,996,4,0,2,998,2,4,4978,0,5000
2,2,994,6,0,2,998,2,6,4974,0,5000
3,3,988,12,0,3,997,6,12,4976,2,5000
4,4,976,24,0,2,998,12,24,4980,2,5000
5,5,962,38,0,3,997,14,38,4970,2,5000
6,6,918,80,2,2,998,44,82,4980,6,5000
7,7,859,137,4,2,998,59,141,4986,12,5000
8,8,759,235,6,2,998,100,241,4980,14,5000
9,9,604,384,12,2,998,155,396,4984,44,5000
10,10,420,556,24,2,998,184,580,4976,59,5000
11,11,242,720,38,2,998,178,758,4984,100,5000
12,12,108,810,82,2,998,134,892,4980,155,5000
13,13,57,802,141,2,998,51,943,4978,184,5000
14,14,19,740,241,2,998,38,981,4978,178,5000
15,15,10,594,396,2,998,9,990,4978,134,5000
16,16,9,411,580,2,998,1,991,4976,51,5000
17,17,4,238,758,2,998,5,996,4980,38,5000
18,18,4,104,892,2,998,0,996,4972,9,5000
19,19,3,54,943,1,999,1,997,4988,1,5000
20,20,3,16,981,2,998,0,997,4984,5,5000
21,21,3,7,990,2,998,0,997,4980,0,5000
22,22,3,6,991,2,998,0,997,4976,1,5000
23,23,3,1,996,2,998,0,997,4978,0,5000
24,24,3,1,996,2,998,0,997,4978,0,5000
25,25,3,0,997,2,998,0,997,4976,0,5000
