,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,997,3,0,0,1000,1,3,5000,0,5000
2,2,996,4,0,0,1000,1,4,4998,0,5000
3,3,990,10,0,0,1000,6,10,4998,2,5000
4,4,983,17,0,0,1000,7,17,4998,1,5000
5,5,970,30,0,0,1000,13,30,4998,1,5000
6,6,938,60,2,0,1000,32,62,5000,6,5000
7,7,887,110,3,0,1000,51,113,4998,7,5000
8,8,811,185,4,0,1000,76,189,4998,13,5000
9,9,672,318,10,0,1000,139,328,4998,32,5000
10,10,494,489,17,0,1000,178,506,5000,51,5000
11,11,300,670,30,0,1000,194,700,4998,76,5000
12,12,154,784,62,0,1000,146,846,5000,139,5000
13,13,61,826,113,0,1000,93,939,5000,178,5000
14,14,23,788,189,0,1000,38,977,5000,194,5000
15,15,7,665,328,0,1000,16,993,4998,146,5000
16,16,4,490,506,0,1000,3,996,5000,93,5000
17,17,2,298,700,0,1000,2,998,5000,38,5000
18,18,0,154,846,0,1000,2,1000,4998,16,5000
19,19,0,61,939,0,1000,0,1000,4998,3,5000
20,20,0,23,977,0,1000,0,1000,5000,2,5000
21,21,0,7,993,0,1000,0,1000,5000,2,5000
22,22,0,4,996,0,1000,0,1000,5000,0,5000
23,23,0,2,998,0,1000,0,1000,4998,0,5000
24,24,0,0,1000,0,1000,0,1000,5000,0,5000
