,Step,Susceptible,Infected,Recovered,# Home,# Outside,New Infections,Cumulative Infections,Total Contact,Daily New Cases Day 4,Max Potential Contact Rate
0,0,998,2,0,0,1000,2,2,0,0,5000
1,1,994,6,0,0,1000,4,6,4998,0,5000
2,2,989,11,0,0,1000,5,11,4998,0,5000
3,3,983,17,0,0,1000,6,17,5000,2,5000
4,4,972,28,0,0,1000,11,28,5000,4,5000
5,5,937,63,0,0,1000,35,63,5000,5,5000
6,6,881,117,2,0,1000,56,119,4998,6,5000
7,7,782,212,6,0,1000,99,218,5000,11,5000
8,8,620,369,11,0,1000,162,380,4996,35,5000
9,9,411,572,17,0,1000,209,589,5000,56,5000
10,10,220,752,28,0,1000,191,780,5000,99,5000
11,11,103,834,63,0,1000,117,897,4998,162,5000
12,12,45,836,119,0,1000,58,955,4998,209,5000
13,13,10,772,218,0,1000,35,990,5000,191,5000
14,14,7,613,380,0,1000,3,993,4996,117,5000
15,15,6,405,589,0,1000,1,994,4998,58,5000
16,16,4,216,780,0,1000,2,996,5000,35,5000
17,17,4,99,897,0,1000,0,996,5000,3,5000
18,18,4,41,955,0,1000,0,996,5000,1,5000
19,19,4,6,990,0,1000,0,996,4998,2,5000
20,20,4,3,993,0,1000,0,996,4998,0,5000
21,21,4,2,994,0,1000,0,996,4998,0,5000
22,22,4,0,996,0,1000,0,996,5000,0,5000
